time;row_1;row_2;row_3;row_4;
     1;   -1.4736;   -0.3278;    0.8158;   -1.5820;
     2;   -1.4609;   -0.3469;    0.8207;   -1.5854;
     3;   -1.4788;   -0.3382;    0.8076;   -1.5782;
     4;   -1.4887;   -0.3462;    0.8101;   -1.5976;
     5;   -1.5026;   -0.3387;    0.8061;   -1.5781;
     6;   -1.5049;   -0.3279;    0.7892;   -1.5600;
     7;   -1.5024;   -0.3252;    0.8002;   -1.5483;
     8;   -1.4889;   -0.3058;    0.8158;   -1.5676;
     9;   -1.4786;   -0.3112;    0.8161;   -1.5569;
    10;   -1.4617;   -0.3275;    0.8091;   -1.5423;
    11;   -1.4477;   -0.3132;    0.7960;   -1.5325;
    12;   -1.4322;   -0.3307;    0.7769;   -1.5190;
    13;   -1.4470;   -0.3153;    0.7609;   -1.5233;
    14;   -1.4491;   -0.3128;    0.7724;   -1.5243;
    15;   -1.4469;   -0.3068;    0.7857;   -1.5221;
    16;   -1.4285;   -0.3106;    0.7876;   -1.5062;
    17;   -1.4315;   -0.3110;    0.7874;   -1.5224;
    18;    0.5203;    1.3076;    1.0147;   -1.9527;
    19;    0.2175;    0.7445;    0.9709;   -1.2776;
    20;    0.1189;    0.2658;    0.8864;   -1.0323;
    21;    0.0667;   -0.1266;    0.7638;   -0.8978;
    22;    0.0330;   -0.4322;    0.6086;   -0.7836;
    23;    0.0072;   -0.6510;    0.4273;   -0.6512;
    24;   -0.0150;   -0.7826;    0.2285;   -0.4805;
    25;   -0.0348;   -0.8268;    0.0209;   -0.2631;
    26;   -0.0551;   -0.7833;   -0.1866;    0.0019;
    27;   -0.0772;   -0.6519;   -0.3851;    0.3075;
    28;   -0.1027;   -0.4328;   -0.5664;    0.6421;
    29;   -0.1366;   -0.1271;   -0.7217;    0.9921;
    30;   -0.1882;    0.2656;   -0.8441;    1.3395;
    31;   -0.2870;    0.7439;   -0.9293;    1.6674;
    32;   -0.5906;    1.3074;   -0.9732;    1.9586;
    33;   -1.3863;   -0.3358;    0.8438;   -1.5311;
    34;   -1.3832;   -0.3451;    0.8382;   -1.5350;
    35;   -1.4030;   -0.3389;    0.8566;   -1.5491;
    36;   -1.4090;   -0.3295;    0.8436;   -1.5595;
    37;   -1.4190;   -0.3478;    0.8381;   -1.5612;
    38;   -1.4338;   -0.3370;    0.8240;   -1.5725;
    39;   -1.4264;   -0.3464;    0.8079;   -1.5635;
    40;   -1.4163;   -0.3498;    0.8073;   -1.5514;
    41;   -1.4339;   -0.3405;    0.8127;   -1.5472;
    42;   -1.4330;   -0.3220;    0.8262;   -1.5324;
    43;   -1.4354;   -0.3119;    0.8144;   -1.5472;
    44;   -1.4214;   -0.3134;    0.8326;   -1.5630;
    45;   -1.4075;   -0.3279;    0.8402;   -1.5756;
    46;   -1.4161;   -0.3355;    0.8462;   -1.5864;
    47;   -1.4156;   -0.3351;    0.8508;   -1.5888;
    48;   -1.3959;   -0.3233;    0.8462;   -1.5698;
    49;   -1.4159;   -0.3429;    0.8387;   -1.5700;
    50;   -1.4199;   -0.3508;    0.8413;   -1.5591;
    51;   -1.4272;   -0.3489;    0.8513;   -1.5426;
    52;   -1.4434;   -0.3458;    0.8683;   -1.5275;
    53;   -1.4570;   -0.3438;    0.8747;   -1.5469;
    54;   -1.4732;   -0.3608;    0.8875;   -1.5470;
    55;   -1.4533;   -0.3635;    0.8679;   -1.5590;
    56;   -1.4558;   -0.3506;    0.8782;   -1.5499;
    57;   -1.4750;   -0.3585;    0.8636;   -1.5452;
    58;   -1.4736;   -0.3753;    0.8662;   -1.5508;
    59;   -1.4879;   -0.3593;    0.8764;   -1.5507;
    60;   -1.5040;   -0.3626;    0.8592;   -1.5441;
    61;   -1.4970;   -0.3561;    0.8504;   -1.5546;
    62;   -1.5070;   -0.3642;    0.8361;   -1.5595;
    63;   -1.5196;   -0.3631;    0.8539;   -1.5638;
    64;   -1.5114;   -0.3481;    0.8360;   -1.5831;
    65;   -1.5164;   -0.3482;    0.8517;   -1.5902;
    66;   -1.5145;   -0.3671;    0.8658;   -1.6095;
    67;   -1.5252;   -0.3569;    0.8670;   -1.6123;
    68;   -1.5369;   -0.3513;    0.8832;   -1.6280;
    69;   -1.5515;   -0.3617;    0.8735;   -1.6319;
    70;   -1.5549;   -0.3572;    0.8641;   -1.6476;
    71;   -1.5516;   -0.3514;    0.8665;   -1.6320;
    72;   -1.5512;   -0.3573;    0.8499;   -1.6377;
    73;   -1.5368;   -0.3510;    0.8591;   -1.6558;
    74;   -1.5182;   -0.3605;    0.8554;   -1.6713;
    75;   -1.5338;   -0.3595;    0.8512;   -1.6699;
    76;   -1.5278;   -0.3732;    0.8706;   -1.6876;
    77;   -1.5210;   -0.3768;    0.8525;   -1.7049;
    78;   -1.5208;   -0.3804;    0.8377;   -1.6924;
    79;   -1.5135;   -0.3680;    0.8263;   -1.6791;
    80;   -1.5270;   -0.3788;    0.8345;   -1.6762;
    81;   -1.5199;   -0.3823;    0.8417;   -1.6677;
    82;   -1.5014;   -0.3725;    0.8437;   -1.6548;
    83;   -1.4923;   -0.3906;    0.8309;   -1.6368;
    84;   -1.4825;   -0.3933;    0.8124;   -1.6352;
    85;   -1.4700;   -0.3869;    0.8311;   -1.6349;
    86;   -1.4889;   -0.4068;    0.8121;   -1.6439;
    87;   -1.4758;   -0.4046;    0.8058;   -1.6243;
    88;   -1.4654;   -0.3880;    0.7912;   -1.6196;
    89;   -1.4605;   -0.3780;    0.7727;   -1.6201;
    90;   -1.4475;   -0.3908;    0.7757;   -1.6036;
    91;   -1.4287;   -0.3959;    0.7727;   -1.6077;
    92;   -1.4308;   -0.3865;    0.7820;   -1.6185;
    93;   -1.4474;   -0.3932;    0.7895;   -1.6057;
    94;   -1.4392;   -0.3939;    0.7741;   -1.6215;
    95;   -1.4531;   -0.3796;    0.7666;   -1.6302;
    96;   -1.4465;   -0.3944;    0.7744;   -1.6407;
    97;   -1.4456;   -0.3785;    0.7772;   -1.6422;
    98;   -1.4310;   -0.3718;    0.7876;   -1.6461;
    99;   -1.4279;   -0.3547;    0.7682;   -1.6638;
   100;   -1.4164;   -0.3658;    0.7565;   -1.6731;
