time;row_1;row_2;row_3;row_4;
     1;   -1.0686;   -1.5180;    0.9725;   -0.0808;
     2;   -1.0686;   -1.5363;    0.9552;   -0.0980;
     3;   -1.0645;   -1.5546;    0.9749;   -0.0789;
     4;   -1.0646;   -1.5471;    0.9757;   -0.0733;
     5;   -1.0586;   -1.5516;    0.9668;   -0.0698;
     6;   -1.0775;   -1.5340;    0.9837;   -0.0548;
     7;   -1.0594;   -1.5431;    0.9869;   -0.0407;
     8;   -1.0630;   -1.5232;    0.9984;   -0.0472;
     9;   -1.0820;   -1.5325;    0.9802;   -0.0544;
    10;   -1.0787;   -1.5335;    0.9767;   -0.0564;
    11;   -1.0795;   -1.5194;    0.9771;   -0.0678;
    12;   -1.0715;   -1.5208;    0.9882;   -0.0724;
    13;   -1.0884;   -1.5013;    0.9917;   -0.0545;
    14;   -1.0855;   -1.4969;    0.9766;   -0.0373;
    15;   -1.0947;   -1.5115;    0.9585;   -0.0304;
    16;   -1.0910;   -1.5025;    0.9721;   -0.0393;
    17;   -1.0761;   -1.4921;    0.9848;   -0.0339;
    18;   -1.0700;   -1.4857;    0.9922;   -0.0236;
    19;   -1.0765;   -1.4932;    1.0027;   -0.0104;
    20;   -1.0668;   -1.4896;    1.0102;    0.0029;
    21;   -1.0755;   -1.4771;    1.0067;   -0.0010;
    22;   -1.0811;   -1.4673;    1.0168;    0.0025;
    23;   -1.0664;   -1.4590;    1.0081;   -0.0002;
    24;   -1.0850;   -1.4491;    1.0103;   -0.0181;
    25;   -1.0672;   -1.4382;    1.0138;   -0.0037;
    26;   -1.0847;   -1.4264;    1.0019;   -0.0015;
    27;   -1.0759;   -1.4352;    0.9993;   -0.0010;
    28;   -1.0858;   -1.4424;    0.9950;    0.0023;
    29;   -1.0664;   -1.4250;    0.9970;    0.0177;
    30;   -1.0586;   -1.4379;    0.9929;    0.0205;
    31;   -1.0652;   -1.4464;    1.0011;    0.0257;
    32;   -1.0723;   -1.4461;    0.9852;    0.0332;
    33;   -1.0718;   -1.4367;    0.9992;    0.0503;
    34;   -1.0751;   -1.4304;    1.0164;    0.0367;
    35;   -1.0568;   -1.4248;    1.0101;    0.0195;
    36;   -1.0584;   -1.4234;    1.0214;    0.0277;
    37;   -1.0682;   -1.4340;    1.0363;    0.0356;
    38;   -1.0690;   -1.4175;    1.0443;    0.0421;
    39;   -1.0514;   -1.4276;    1.0244;    0.0459;
    40;   -1.0673;   -1.4093;    1.0395;    0.0507;
    41;   -1.0560;   -1.4263;    1.0510;    0.0563;
    42;   -1.0483;   -1.4321;    1.0348;    0.0405;
    43;   -1.0321;   -1.4307;    1.0480;    0.0254;
    44;   -1.0130;   -1.4114;    1.0599;    0.0449;
    45;   -1.0287;   -1.4095;    1.0499;    0.0310;
    46;   -1.0457;   -1.3989;    1.0385;    0.0306;
    47;   -1.0502;   -1.3964;    1.0287;    0.0396;
    48;   -1.0432;   -1.4051;    1.0281;    0.0546;
    49;   -1.0560;   -1.4129;    1.0374;    0.0416;
    50;   -1.0417;   -1.4157;    1.0259;    0.0326;
    51;   -1.0421;   -1.4183;    1.0105;    0.0226;
    52;   -1.0591;   -1.4075;    1.0121;    0.0104;
    53;   -1.0619;   -1.4046;    1.0185;    0.0288;
    54;   -1.0779;   -1.4012;    1.0049;    0.0130;
    55;   -1.0931;   -1.3833;    1.0028;   -0.0069;
    56;    0.5285;    1.2814;    1.0198;   -1.9149;
    57;    0.2249;    0.7178;    0.9767;   -1.2401;
    58;    0.1266;    0.2399;    0.8913;   -0.9948;
    59;    0.0746;   -0.1527;    0.7688;   -0.8600;
    60;    0.0400;   -0.4586;    0.6132;   -0.7460;
    61;    0.0138;   -0.6777;    0.4317;   -0.6134;
    62;   -0.0078;   -0.8090;    0.2333;   -0.4426;
    63;   -0.0282;   -0.8525;    0.0257;   -0.2249;
    64;   -0.0480;   -0.8083;   -0.1820;    0.0399;
    65;   -0.0695;   -0.6768;   -0.3807;    0.3452;
    66;   -0.0956;   -0.4582;   -0.5617;    0.6799;
    67;   -0.1299;   -0.1519;   -0.7170;    1.0297;
    68;   -0.1815;    0.2405;   -0.8404;    1.3771;
    69;   -0.2804;    0.7192;   -0.9258;    1.7048;
    70;   -0.5839;    1.2820;   -0.9696;    1.9962;
    71;   -1.1316;   -1.3368;    0.9983;   -0.0342;
    72;   -1.1209;   -1.3537;    0.9840;   -0.0203;
    73;   -1.1365;   -1.3684;    0.9841;   -0.0130;
    74;   -1.1185;   -1.3764;    0.9744;   -0.0085;
    75;   -1.1063;   -1.3955;    0.9937;   -0.0159;
    76;   -1.1031;   -1.4110;    0.9879;   -0.0337;
    77;   -1.1219;   -1.3950;    0.9956;   -0.0419;
    78;   -1.1051;   -1.3888;    1.0007;   -0.0267;
    79;   -1.1081;   -1.3832;    0.9890;   -0.0109;
    80;   -1.1167;   -1.3737;    1.0043;    0.0068;
    81;   -1.1271;   -1.3780;    0.9976;    0.0244;
    82;   -1.1287;   -1.3640;    0.9781;    0.0429;
    83;   -1.1239;   -1.3651;    0.9756;    0.0351;
    84;   -1.1438;   -1.3819;    0.9908;    0.0157;
    85;   -1.1359;   -1.3637;    0.9721;    0.0186;
    86;   -1.1187;   -1.3768;    0.9533;    0.0205;
    87;   -1.1053;   -1.3706;    0.9438;    0.0243;
    88;   -1.1007;   -1.3583;    0.9365;    0.0217;
    89;   -1.0990;   -1.3486;    0.9314;    0.0278;
    90;   -1.0899;   -1.3619;    0.9184;    0.0245;
    91;   -1.0829;   -1.3599;    0.9207;    0.0121;
    92;   -1.0803;   -1.3511;    0.9065;    0.0033;
    93;   -1.0647;   -1.3525;    0.8926;   -0.0166;
    94;   -1.0829;   -1.3691;    0.8974;   -0.0339;
    95;   -1.0668;   -1.3697;    0.8956;   -0.0417;
    96;   -1.0656;   -1.3766;    0.8917;   -0.0422;
    97;   -1.0702;   -1.3580;    0.9004;   -0.0549;
    98;   -1.0788;   -1.3539;    0.8924;   -0.0630;
    99;   -1.0820;   -1.3516;    0.9067;   -0.0820;
   100;   -1.0663;   -1.3389;    0.8908;   -0.0676;
