time;row_1;row_2;row_3;
   1;    0.2717;    0.1482;    0.4999;
   2;    0.3121;    0.1756;    0.7459;
   3;    0.3028;    0.1798;    0.9922;
   4;    0.2499;    0.1614;    1.1988;
   5;    0.1744;    0.1280;    1.3312;
   6;    0.0972;    0.0896;    1.3694;
   7;    0.0283;    0.0557;    1.3214;
   8;   -0.0338;    0.0325;    1.2222;
   9;   -0.0946;    0.0210;    1.1132;
  10;   -0.1562;    0.0186;    1.0184;
  11;   -0.2164;    0.0208;    0.9417;
  12;   -0.2720;    0.0248;    0.8789;
  13;   -0.3231;    0.0297;    0.8271;
  14;   -0.3713;    0.0354;    0.7840;
  15;   -0.4186;    0.0411;    0.7454;
  16;   -0.4666;    0.0457;    0.7077;
  17;   -0.5178;    0.0479;    0.6699;
  18;   -0.5751;    0.0458;    0.6319;
  19;   -0.6415;    0.0378;    0.5928;
  20;   -0.7191;    0.0215;    0.5527;
  21;   -0.8088;   -0.0048;    0.5139;
  22;   -0.9095;   -0.0427;    0.4767;
  23;   -1.0182;   -0.0924;    0.4345;
  24;   -1.1299;   -0.1526;    0.3778;
  25;   -1.2389;   -0.2205;    0.3050;
  26;   -1.3395;   -0.2922;    0.2294;
  27;   -1.4257;   -0.3641;    0.1713;
  28;   -1.4911;   -0.4328;    0.1423;
  29;   -1.5310;   -0.4965;    0.1384;
  30;   -1.5434;   -0.5542;    0.1467;
  31;   -1.5305;   -0.6062;    0.1574;
  32;   -1.4966;   -0.6533;    0.1690;
  33;   -1.4469;   -0.6967;    0.1804;
  34;   -1.3859;   -0.7381;    0.1838;
  35;   -1.3169;   -0.7786;    0.1696;
  36;   -1.2415;   -0.8187;    0.1362;
  37;   -1.1596;   -0.8577;    0.0934;
  38;   -1.0693;   -0.8941;    0.0542;
  39;   -0.9678;   -0.9260;    0.0266;
  40;   -0.8534;   -0.9522;    0.0110;
  41;   -0.7261;   -0.9714;    0.0038;
  42;   -0.5875;   -0.9822;    0.0011;
  43;   -0.4406;   -0.9828;    0.0003;
  44;   -0.2883;   -0.9717;    0.0001;
  45;   -0.1325;   -0.9486;    0.0000;
  46;    0.0255;   -0.9142;    0.0000;
  47;    0.1861;   -0.8697;    0.0000;
  48;    0.3512;   -0.8156;   -0.0000;
  49;    0.5250;   -0.7512;   -0.0000;
  50;    0.7127;   -0.6753;   -0.0000;
  51;    0.9182;   -0.5874;   -0.0000;
  52;    1.1417;   -0.4883;   -0.0003;
  53;    1.3781;   -0.3789;   -0.0014;
  54;    1.6167;   -0.2597;   -0.0059;
  55;    1.8423;   -0.1314;   -0.0209;
  56;    2.0372;    0.0035;   -0.0610;
  57;    2.1832;    0.1391;   -0.1493;
  58;    2.2637;    0.2672;   -0.3101;
  59;    2.2663;    0.3785;   -0.5580;
  60;    2.1853;    0.4656;   -0.8909;
  61;    2.0249;    0.5236;   -1.2947;
  62;    1.8020;    0.5522;   -1.7499;
  63;    1.5476;    0.5552;   -2.2228;
  64;    1.3035;    0.5403;   -2.6487;
  65;    1.1114;    0.5167;   -2.9388;
  66;    0.9960;    0.4930;   -3.0323;
  67;    0.9538;    0.4747;   -2.9486;
  68;    0.9582;    0.4637;   -2.7789;
  69;    0.9783;    0.4585;   -2.6196;
  70;    0.9954;    0.4566;   -2.5173;
  71;    1.0046;    0.4561;   -2.4685;
  72;    1.0082;    0.4561;   -2.4508;
  73;    1.0093;    0.4561;   -2.4459;
  74;    1.0095;    0.4561;   -2.4448;
  75;    1.0095;    0.4561;   -2.4446;
  76;    1.0095;    0.4561;   -2.4446;
  77;    1.0095;    0.4561;   -2.4445;
  78;    1.0095;    0.4560;   -2.4445;
  79;    1.0094;    0.4560;   -2.4443;
  80;    1.0088;    0.4557;   -2.4428;
  81;    1.0060;    0.4545;   -2.4360;
  82;    0.9957;    0.4498;   -2.4111;
  83;    0.9659;    0.4364;   -2.3389;
  84;    0.8981;    0.4057;   -2.1746;
  85;    0.7760;    0.3505;   -1.8789;
  86;    0.6024;    0.2721;   -1.4586;
