time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;32;170;32;170;19.018;117.822;54.6667;348;172.936;1.38519;19.018;117.822;130.869;1.45866;54.6667;348;372.143;1.41991;
2;29;172;16;174;17.6121;118.165;50.3333;348.667;174.379;1.40422;6.95985;118.209;130.459;1.55097;42.6667;347.667;370.199;1.45182;
3;29;178;6;175;14.854;117.966;42.6667;347.667;180.299;1.40974;-10.371;114.19;127.271;1.68691;22.6667;348.333;369.026;1.50588;
4;16;174;-12;171;12.1995;118.205;37.3333;348;174.692;1.47957;-20.3498;110.206;124.902;1.77005;1;346.667;366.589;1.5646;
5;6;175;-36;167;6.95985;118.209;22.6667;348.333;175.065;1.53701;-30.3789;104.931;122.201;1.85916;-28;336.667;357.582;1.64561;
6;0;175;-58;148;-0.545369;117.464;1;346.667;174.966;1.57129;-40.4289;98.565;119.506;1.95508;-56;326;350.218;1.72771;
7;-12;171;-68;142;-10.371;114.19;-28;336.667;171.392;1.64137;-49.2112;91.5796;116.819;2.04733;-84;311.667;341.746;1.8153;
8;-36;167;-78;132;-20.3498;110.206;-56;326;170.821;1.78365;-56.678;84.2389;114.16;2.13505;-113.667;293.667;333.116;1.91495;
9;-58;148;-89;121;-30.3789;104.931;-84;311.667;158.958;1.94488;-67.9555;69.6647;109.258;2.29428;-141;273.333;324.836;2.01545;
10;-68;142;-94;110;-40.4289;98.565;-113.667;293.667;157.448;2.01799;-72.9747;60.2785;106.016;2.38852;-164.333;251;316.202;2.1126;
11;-78;132;-106;100;-49.2112;91.5796;-141;273.333;153.337;2.1051;-77.7575;50.0311;103.06;2.49299;-183;230;309.002;2.19952;
12;-89;121;-114;85;-56.678;84.2389;-164.333;251;150.23;2.20558;-82.6732;39.0409;101.021;2.60934;-197.667;208.667;301.364;2.2806;
13;-94;110;-124;48;-62.9594;76.9885;-183;230;144.723;2.27853;-87.3048;26.9353;99.6915;2.73791;-213;180.667;291.653;2.38322;
14;-106;100;-132;32;-67.9555;69.6647;-197.667;208.667;145.765;2.38589;-91.3455;15.2228;99.5766;2.86234;-227.333;151;283.4;2.49423;
15;-114;85;-139;16;-72.9747;60.2785;-213;180.667;142.249;2.50146;-95.1025;3.73904;100.749;2.98247;-242.333;119.667;278.556;2.61673;
16;-112;78;-146;-5;-77.7575;50.0311;-227.333;151;136.535;2.53384;-97.0808;-6.34064;101.625;3.08366;-255.667;84.6667;275.052;2.75155;
17;-124;48;-147;-16;-82.6732;39.0409;-242.333;119.667;133.034;2.77273;-97.9069;-16.5174;102.37;-3.09965;-266.667;51;274.705;2.88049;
18;-132;32;-147;-27;-87.3048;26.9353;-255.667;84.6667;135.899;2.90415;-96.6872;-35.6425;103.738;-2.91389;-278.333;16;279.379;3.01268;
19;-139;16;-143;-42;-91.3455;15.2228;-266.667;51;140;3.0273;-92.0677;-55.3466;105.643;-2.72112;-284.667;-14;283.456;3.12072;
