time;row_1;row_2;row_3;
   1;    0.0444;    0.0082;    0.5588;
   2;    0.0075;    0.0116;    0.7075;
   3;   -0.0623;    0.0130;    0.8159;
   4;   -0.1545;    0.0114;    0.8827;
   5;   -0.2552;    0.0072;    0.9114;
   6;   -0.3555;    0.0018;    0.9033;
   7;   -0.4528;   -0.0050;    0.8626;
   8;   -0.5477;   -0.0137;    0.8012;
   9;   -0.6402;   -0.0253;    0.7319;
  10;   -0.7301;   -0.0394;    0.6605;
  11;   -0.8172;   -0.0548;    0.5889;
  12;   -0.9013;   -0.0703;    0.5234;
  13;   -0.9819;   -0.0852;    0.4698;
  14;   -1.0577;   -0.1002;    0.4227;
  15;   -1.1273;   -0.1173;    0.3688;
  16;   -1.1890;   -0.1386;    0.3013;
  17;   -1.2414;   -0.1656;    0.2256;
  18;   -1.2834;   -0.1994;    0.1540;
  19;   -1.3146;   -0.2401;    0.0993;
  20;   -1.3352;   -0.2880;    0.0695;
  21;   -1.3462;   -0.3437;    0.0639;
  22;   -1.3492;   -0.4081;    0.0765;
  23;   -1.3462;   -0.4828;    0.1028;
  24;   -1.3394;   -0.5706;    0.1393;
  25;   -1.3308;   -0.6746;    0.1774;
  26;   -1.3209;   -0.7971;    0.2058;
  27;   -1.3075;   -0.9381;    0.2211;
  28;   -1.2861;   -1.0942;    0.2322;
  29;   -1.2506;   -1.2581;    0.2471;
  30;   -1.1942;   -1.4184;    0.2584;
  31;   -1.1096;   -1.5605;    0.2495;
  32;   -0.9896;   -1.6692;    0.2122;
  33;   -0.8286;   -1.7310;    0.1545;
  34;   -0.6255;   -1.7362;    0.0940;
  35;   -0.3846;   -1.6805;    0.0480;
  36;   -0.1156;   -1.5647;    0.0241;
  37;    0.1688;   -1.3943;    0.0182;
  38;    0.4558;   -1.1776;    0.0230;
  39;    0.7343;   -0.9237;    0.0397;
  40;    0.9963;   -0.6401;    0.0773;
  41;    1.2379;   -0.3316;    0.1375;
  42;    1.4594;   -0.0009;    0.2068;
  43;    1.6634;    0.3488;    0.2661;
  44;    1.8530;    0.7120;    0.3090;
  45;    2.0284;    1.0786;    0.3439;
  46;    2.1868;    1.4347;    0.3782;
  47;    2.3220;    1.7641;    0.4074;
  48;    2.4269;    2.0521;    0.4216;
  49;    2.4948;    2.2883;    0.4131;
  50;    2.5220;    2.4690;    0.3772;
  51;    2.5083;    2.5977;    0.3167;
  52;    2.4575;    2.6842;    0.2496;
  53;    2.3769;    2.7430;    0.2024;
  54;    2.2763;    2.7903;    0.1919;
  55;    2.1676;    2.8400;    0.2114;
  56;    2.0625;    2.9001;    0.2379;
  57;    1.9693;    2.9703;    0.2476;
  58;    1.8908;    3.0426;    0.2286;
  59;    1.8241;    3.1022;    0.1843;
  60;    1.7617;    3.1292;    0.1309;
  61;    1.6934;    3.1016;    0.0893;
  62;    1.6074;    3.0002;    0.0769;
  63;    1.4929;    2.8137;    0.1042;
  64;    1.3420;    2.5420;    0.1703;
  65;    1.1509;    2.1948;    0.2549;
  66;    0.9206;    1.7872;    0.3180;
  67;    0.6554;    1.3338;    0.3236;
  68;    0.3625;    0.8481;    0.2738;
  69;    0.0516;    0.3449;    0.2117;
  70;   -0.2671;   -0.1585;    0.1830;
  71;   -0.5834;   -0.6444;    0.1973;
  72;   -0.8874;   -1.0985;    0.2290;
  73;   -1.1695;   -1.5143;    0.2444;
  74;   -1.4210;   -1.8909;    0.2244;
  75;   -1.6358;   -2.2293;    0.1731;
  76;   -1.8109;   -2.5277;    0.1106;
  77;   -1.9469;   -2.7815;    0.0580;
