time;row;
     1;   -3.8938;
     2;   -2.5623;
     3;   -1.9386;
     4;   -1.5035;
     5;   -1.1598;
     6;   -0.8718;
     7;   -0.6228;
     8;   -0.4037;
     9;   -0.2093;
    10;   -0.0361;
    11;    0.1178;
    12;    0.2540;
    13;    0.3735;
    14;    0.4771;
    15;    0.5653;
    16;    0.6388;
    17;    0.6979;
    18;    0.7433;
    19;    0.7754;
    20;    0.7949;
    21;    0.8023;
    22;    0.7983;
    23;    0.7837;
    24;    0.7592;
    25;    0.7259;
    26;    0.6844;
    27;    0.6359;
    28;    0.5814;
    29;    0.5218;
    30;    0.4583;
    31;    0.3921;
    32;    0.3241;
    33;    0.2555;
    34;    0.1874;
    35;    0.1208;
    36;    0.0570;
    37;   -0.0033;
    38;   -0.0589;
    39;   -0.1091;
    40;   -0.1529;
