time;row_1;row_2;row_3;row_4;
1;6.6451;126.31;125.152;1.59785;
2;9.48674;120.608;119.406;1.57535;
3;12.5959;112.883;111.709;1.54783;
4;15.3279;103.242;102.175;1.51893;
5;19.582;84.775;84.1149;1.457;
6;19.4119;64.2937;63.7832;1.42319;
7;13.8987;43.3067;42.2798;1.47919;
8;2.357;24.1467;24.192;1.89359;
9;-13.427;8.81895;24.6631;2.82771;
10;-30.0571;-2.04721;40.2197;-3.06067;
11;-42.5751;-11.3404;54.0811;-2.9075;
12;-49.0453;-19.391;62.5633;-2.80615;
13;-49.0205;-27.9264;65.8458;-2.68331;
14;-42.4865;-37.5148;65.2476;-2.5063;
15;-31.0766;-48.2944;64.3424;-2.26385;
16;-14.1448;-58.7421;64.6376;-1.95414;
17;4.41286;-65.6724;67.1121;-1.65461;
18;24.6422;-69.1653;71.8703;-1.36607;
19;45.3653;-69.8009;79.3109;-1.10905;
20;64.3738;-67.2401;87.3942;-0.899742;
21;80.8007;-63.4373;95.8481;-0.740172;
22;87.5843;-61.6953;99.8541;-0.681441;
23;96.0617;-58.4227;104.674;-0.606072;
