time;row_1;row_2;row_3;row_4;
1;-58.8951;7.00924;52.8257;-3.07858;
2;-55.5058;12.0555;49.3615;3.10674;
3;-50.0319;20.3207;44.9799;2.91774;
4;-42.7752;31.9124;42.4875;2.60892;
5;-30.5511;51.6051;47.9311;2.10433;
6;-18.1621;73.0902;63.8892;1.75955;
7;-7.16365;93.8855;83.5557;1.58264;
8;1.12802;107.114;97.0536;1.49549;
9;6.17682;111.991;102.403;1.44989;
10;9.19781;107.847;98.7156;1.41444;
11;10.6433;92.0777;83.4541;1.36789;
12;11.7229;66.7662;59.2006;1.26368;
13;12.8404;34.2467;30.5499;0.898973;
14;14.195;-0.463012;23.0547;-0.487475;
15;14.6737;-36.2648;51.0513;-1.15013;
16;14.206;-70.2376;83.1109;-1.32305;
17;13.0946;-98.8202;110.844;-1.39607;
18;11.6983;-121.789;133.328;-1.43634;
19;10.842;-131.652;143.004;-1.45152;
20;9.18115;-143.981;155.079;-1.47162;
