time;row_1;row_2;row_3;row_4;
1;10.9875;131.293;133.44;1.48084;
2;6.43987;130.132;131.949;1.51439;
3;-0.649491;127.86;129.467;1.56809;
4;-11.34;124.859;126.888;1.65238;
5;-29.5357;119.487;124.411;1.80223;
6;-49.1649;110.319;121.85;1.97717;
7;-68.1546;98.4955;120.542;2.1617;
8;-83.4039;84.607;119.262;2.33361;
9;-92.922;68.4662;115.586;2.49026;
10;-94.0363;50.1653;106.472;2.63379;
11;-84.089;31.2747;89.3593;2.76476;
12;-65.6018;15.8537;66.9204;2.87762;
13;-41.5899;4.90827;41.11;2.98243;
14;-14.8852;0.0929954;13.9894;3.01976;
15;11.6213;2.21331;13.1864;0.29394;
16;34.8656;10.8674;37.9725;0.334729;
17;51.1776;25.5097;58.8028;0.479289;
18;62.1428;43.5295;77.6161;0.620616;
19;67.5062;62.4637;93.7982;0.751959;
20;67.0325;80.2722;106.455;0.877507;
21;60.9372;95.7137;115.358;1.00403;
22;50.8901;107.269;120.609;1.12605;
23;38.1797;113.238;121.344;1.24203;
24;31.504;94.6945;101.639;1.24529;
25;27.2058;71.3696;78.2378;1.20198;
26;25.0062;45.932;54.1873;1.07023;
27;23.5716;21.1708;33.5048;0.747545;
28;20.4684;-0.37302;21.5033;0.0574223;
29;14.8305;-18.5784;23.208;-0.820181;
30;1.15336;-22.9912;21.4922;-1.47046;
31;-13.6934;-30.694;31.7361;-1.98229;
32;-28.6519;-40.6185;47.8178;-2.18742;
33;-42.8468;-53.5279;66.6856;-2.24918;
34;-55.297;-70.059;87.3721;-2.24139;
35;-65.728;-87.3739;107.451;-2.2173;
36;-71.8786;-105.518;125.783;-2.16942;
37;-71.0416;-124.031;141.045;-2.09047;
38;-63.6996;-140.502;152.391;-1.99483;
39;-49.3685;-152.348;158.311;-1.88129;
40;-29.2848;-158.439;159.363;-1.74923;
41;-6.15044;-160.01;158.487;-1.6033;
42;17.2979;-157.038;156.504;-1.45362;
43;36.576;-148.624;151.743;-1.32057;
44;51.7101;-134.226;142.71;-1.19249;
45;61.6916;-113.76;128.485;-1.06109;
46;66.2202;-89.239;110.444;-0.916461;
47;66.0311;-63.7295;91.3909;-0.747413;
48;61.5392;-40.0051;73.3859;-0.550641;
49;60.5235;-28.3807;67.0962;-0.410462;
50;55.9298;-12.3453;57.9332;-0.186433;
