time;row_1;row_2;row_3;
   1;   -0.0000;    0.0831;    1.1601;
   2;   -0.0000;    0.0988;    1.4745;
   3;   -0.0001;    0.1000;    1.6517;
   4;   -0.0005;    0.0847;    1.6760;
   5;   -0.0020;    0.0534;    1.5847;
   6;   -0.0066;    0.0050;    1.4350;
   7;   -0.0174;   -0.0654;    1.2811;
   8;   -0.0385;   -0.1639;    1.1603;
   9;   -0.0732;   -0.2944;    1.0792;
  10;   -0.1225;   -0.4563;    1.0115;
  11;   -0.1860;   -0.6463;    0.9203;
  12;   -0.2635;   -0.8613;    0.7918;
  13;   -0.3544;   -1.0981;    0.6453;
  14;   -0.4574;   -1.3505;    0.5134;
  15;   -0.5686;   -1.6096;    0.4190;
  16;   -0.6831;   -1.8658;    0.3673;
  17;   -0.7957;   -2.1108;    0.3488;
  18;   -0.9023;   -2.3382;    0.3448;
  19;   -1.0001;   -2.5421;    0.3362;
  20;   -1.0868;   -2.7157;    0.3130;
  21;   -1.1614;   -2.8536;    0.2770;
  22;   -1.2237;   -2.9528;    0.2357;
  23;   -1.2728;   -3.0121;    0.1957;
  24;   -1.3048;   -3.0285;    0.1599;
  25;   -1.3108;   -2.9962;    0.1290;
  26;   -1.2778;   -2.9078;    0.1010;
  27;   -1.1945;   -2.7599;    0.0721;
  28;   -1.0563;   -2.5558;    0.0421;
  29;   -0.8667;   -2.3041;    0.0156;
  30;   -0.6345;   -2.0146;   -0.0025;
  31;   -0.3703;   -1.6959;   -0.0103;
  32;   -0.0861;   -1.3564;   -0.0082;
  33;    0.2039;   -1.0061;    0.0019;
  34;    0.4832;   -0.6552;    0.0143;
  35;    0.7372;   -0.3119;    0.0215;
  36;    0.9568;    0.0192;    0.0202;
  37;    1.1396;    0.3351;    0.0135;
  38;    1.2876;    0.6322;    0.0066;
  39;    1.4029;    0.9045;    0.0015;
  40;    1.4847;    1.1433;   -0.0049;
  41;    1.5290;    1.3379;   -0.0233;
  42;    1.5302;    1.4781;   -0.0792;
  43;    1.4844;    1.5570;   -0.2196;
  44;    1.3926;    1.5738;   -0.5048;
  45;    1.2629;    1.5348;   -0.9732;
  46;    1.1114;    1.4538;   -1.5904;
  47;    0.9615;    1.3513;   -2.2268;
  48;    0.8386;    1.2516;   -2.7042;
  49;    0.7604;    1.1748;   -2.8995;
  50;    0.7276;    1.1293;   -2.8241;
  51;    0.7257;    1.1102;   -2.6055;
  52;    0.7358;    1.1061;   -2.3859;
  53;    0.7454;    1.1073;   -2.2401;
  54;    0.7508;    1.1087;   -2.1690;
  55;    0.7529;    1.1095;   -2.1427;
  56;    0.7536;    1.1097;   -2.1351;
  57;    0.7537;    1.1098;   -2.1335;
  58;    0.7537;    1.1098;   -2.1332;
  59;    0.7538;    1.1098;   -2.1331;
  60;    0.7538;    1.1098;   -2.1331;
  61;    0.7537;    1.1098;   -2.1331;
  62;    0.7537;    1.1097;   -2.1329;
  63;    0.7532;    1.1090;   -2.1316;
  64;    0.7511;    1.1059;   -2.1257;
  65;    0.7434;    1.0946;   -2.1039;
  66;    0.7212;    1.0619;   -2.0410;
  67;    0.6705;    0.9873;   -1.8976;
  68;    0.5793;    0.8530;   -1.6396;
  69;    0.4497;    0.6622;   -1.2728;
