time;row_1;row_2;row_3;
   1;   -0.0005;    0.0753;    0.7615;
   2;   -0.0020;    0.1022;    0.9833;
   3;   -0.0065;    0.1261;    1.1441;
   4;   -0.0171;    0.1459;    1.2388;
   5;   -0.0374;    0.1622;    1.2815;
   6;   -0.0695;    0.1759;    1.2855;
   7;   -0.1130;    0.1872;    1.2527;
   8;   -0.1655;    0.1960;    1.1802;
   9;   -0.2262;    0.2020;    1.0744;
  10;   -0.2964;    0.2036;    0.9544;
  11;   -0.3785;    0.1985;    0.8432;
  12;   -0.4743;    0.1840;    0.7526;
  13;   -0.5842;    0.1573;    0.6788;
  14;   -0.7078;    0.1156;    0.6116;
  15;   -0.8433;    0.0564;    0.5466;
  16;   -0.9877;   -0.0222;    0.4847;
  17;   -1.1366;   -0.1204;    0.4226;
  18;   -1.2839;   -0.2354;    0.3527;
  19;   -1.4223;   -0.3617;    0.2759;
  20;   -1.5432;   -0.4933;    0.2072;
  21;   -1.6373;   -0.6254;    0.1643;
  22;   -1.6957;   -0.7538;    0.1498;
  23;   -1.7118;   -0.8745;    0.1493;
  24;   -1.6814;   -0.9829;    0.1437;
  25;   -1.6032;   -1.0746;    0.1225;
  26;   -1.4784;   -1.1459;    0.0870;
  27;   -1.3112;   -1.1946;    0.0471;
  28;   -1.1092;   -1.2192;    0.0132;
  29;   -0.8832;   -1.2186;   -0.0103;
  30;   -0.6450;   -1.1918;   -0.0250;
  31;   -0.4044;   -1.1387;   -0.0304;
  32;   -0.1685;   -1.0609;   -0.0227;
  33;    0.0572;   -0.9611;   -0.0013;
  34;    0.2678;   -0.8428;    0.0274;
  35;    0.4597;   -0.7088;    0.0569;
  36;    0.6322;   -0.5611;    0.0867;
  37;    0.7880;   -0.4013;    0.1170;
  38;    0.9303;   -0.2315;    0.1416;
  39;    1.0608;   -0.0545;    0.1499;
  40;    1.1785;    0.1259;    0.1368;
  41;    1.2805;    0.3058;    0.1121;
  42;    1.3632;    0.4808;    0.1001;
  43;    1.4226;    0.6458;    0.1260;
