time;row;
     1;    3.5467;
     2;    1.7856;
     3;    1.1836;
     4;    0.8771;
     5;    0.6895;
     6;    0.5617;
     7;    0.4681;
     8;    0.3958;
     9;    0.3377;
    10;    0.2894;
    11;    0.2483;
    12;    0.2124;
    13;    0.1805;
    14;    0.1516;
    15;    0.1250;
    16;    0.1001;
    17;    0.0766;
    18;    0.0541;
    19;    0.0322;
    20;    0.0107;
    21;   -0.0107;
    22;   -0.0322;
    23;   -0.0541;
    24;   -0.0766;
    25;   -0.1001;
    26;   -0.1250;
    27;   -0.1516;
    28;   -0.1805;
    29;   -0.2124;
    30;   -0.2483;
    31;   -0.2894;
    32;   -0.3377;
    33;   -0.3958;
    34;   -0.4681;
    35;   -0.5617;
    36;   -0.6895;
    37;   -0.8771;
    38;   -1.1836;
    39;   -1.7856;
    40;   -3.5467;
