time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -11; 213;-11;213;0;0;212.417;1.62444;
2; -11; 213;-11;213;4;-7;212.417;1.62444;
3; -7; 206;-9.66667;210.667;13;-12;205.244;1.6068;
4; 6; 194;-5.75;206.5;14;-18;193.193;1.54175;
5; 20; 176;-0.6;200.4;9;-31;176.206;1.45927;
6; 29; 145;4.33333;191.167;12;-28;146.924;1.37481;
7; 41; 117;9.57143;180.571;-3;-30;123.008;1.23433;
8; 38; 87;13.125;168.875;-9;-34;93.9666;1.159;
9; 29; 53;14.8889;156;-21;-37;59.4488;1.06869;
10; 8; 16;14.2;142;-31;-24;16.9197;1.10421;
11; -23; -8;10.8182;128.364;-41;-14;25.021;-2.7784;
12; -64; -22;4.58333;115.833;-25;3;68.3362;-2.80005;
13; -89; -19;-2.61538;105.462;-11;3;91.5748;-2.92266;
14; -100; -16;-9.57143;96.7857;-1;3;101.8;-2.97492;
15; -101; -13;-15.6667;89.4667;-3;-1;102.336;-3.00545;
16; -104; -14;-21.1875;83;1;-1;105.445;-2.99992;
17; -103; -15;-26;77.2353;0;0;104.603;-2.9891;
18; -103; -15;-30.2778;72.1111;3;5;104.603;-2.9891;
19; -100; -10;-33.9474;67.7895;2;-2;100.978;-3.03355;
20; -98; -12;-37.15;63.8;0;1;99.2295;-3.01133;
21; -98; -11;-40.0476;60.2381;5;-12;99.1046;-3.02134;
22; -93; -23;-42.4545;56.4545;15;-19;96.3959;-2.89116;
23; -78; -42;-44;52.1739;21;-20;89.3548;-2.64096;
24; -57; -62;-44.5417;47.4167;17;-20;85.1381;-2.3105;
25; -40; -82;-44.36;42.24;19;-16;92.2054;-2.0242;
26; -21; -98;-43.4615;36.8462;25;-10;101.176;-1.78381;
27; 4; -108;-41.7037;31.4815;48;-3;108.949;-1.53765;
28; 52; -111;-38.3571;26.3929;31;5;123.219;-1.13861;
29; 83; -106;-34.1724;21.8276;32;8;135.092;-0.912819;
30; 115; -98;-29.2;17.8333;22;4;151.376;-0.71189;
31; 137; -94;-23.8387;14.2258;3;4;166.332;-0.607087;
32; 140; -90;-18.7188;10.9688;2;2;166.589;-0.577088;
33; 142; -88;-13.8485;7.9697;4;8;167.197;-0.560536;
34; 146; -80;-9.14706;5.38235;11;2;166.57;-0.507066;
35; 157; -78;-4.4;3;11;5;175.358;-0.466623;
36; 168; -73;0.388889;0.888889;1.0412e-042;4.27967e-038;183.175;-0.415206;
