time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;1;202;1;202;-20.6512;123.602;-68.3333;359;201.318;1.56609;-20.6512;123.602;127.642;1.73065;-68.3333;359;361.109;1.7496;
2;-17;192;-17;192;-27.0808;118.546;-86;344.667;192.074;1.65969;-32.2102;112.473;119.226;1.84145;-86;344.667;350.713;1.80647;
3;-51;171;-51;171;-32.2102;112.473;-97;329.333;177.803;1.86203;-38.5622;103.583;112.678;1.91694;-97;329.333;338.673;1.84864;
4;-70;149;-70;149;-38.5622;103.583;-106.667;310.333;164.027;2.01206;-51.051;87.6616;103.371;2.08361;-106.667;310.333;323.379;1.89352;
5;-84;125;-84;125;-51.051;87.6616;-144;265;150.064;2.16532;-59.8041;70.3915;94.0055;2.25573;-144;265;296.436;2.06226;
6;-99;92;-99;92;-59.8041;70.3915;-171.333;215;134.722;2.39681;-59.1569;53.517;81.1676;2.38141;-171.333;215;269.506;2.24016;
7;-111;66;-111;66;-59.1569;53.517;-169.667;166;128.836;2.60993;-49.6994;40.2991;65.2777;2.42834;-169.667;166;231.878;2.36597;
8;-99;42;-99;42;-49.6994;40.2991;-144.667;127.333;107.324;2.74642;-32.1028;32.2921;47.0492;2.31206;-144.667;127.333;187.229;2.41997;
9;-46;24;-46;24;-32.1028;32.2921;-99;102;51.6185;2.67293;-8.89821;30.5013;34.0094;1.82535;-99;102;136.665;2.33829;
10;5;33;5;33;-8.89821;30.5013;-37.6667;93.6667;32.6923;1.41888;16.028;34.5156;40.3903;1.15371;-37.6667;93.6667;96.0699;1.92764;
11;53;49;53;49;16.028;34.5156;32.3333;101.333;71.6787;0.739692;39.1724;44.284;61.1661;0.868609;32.3333;101.333;104.261;1.21373;
12;85;67;85;67;39.1724;44.284;102.667;126.667;107.768;0.662842;55.1741;59.5979;83.225;0.840667;102.667;126.667;162.893;0.855967;
13;99;89;99;89;55.1741;59.5979;153;170.667;132.628;0.728686;62.4004;75.8064;100.268;0.894812;153;170.667;229.299;0.815963;
14;112;118;112;118;62.4004;75.8064;178;216.667;162.158;0.80881;59.5595;91.3604;111.268;1.0024;178;216.667;280.25;0.863467;
15;105;156;105;156;59.5595;91.3604;173;261;187.449;0.976564;48.6446;104.914;117.974;1.14267;173;261;312.405;0.968037;
16;80;171;80;171;48.6446;104.914;145;301;188.146;1.13192;32.1559;114.639;121.477;1.30004;145;301;332.643;1.10599;
17;38;182;38;182;32.1559;114.639;101.667;331.667;185.244;1.36449;17.5752;101.961;105.898;1.40086;101.667;331.667;344.651;1.25886;
18;1;187;1;187;17.5752;101.961;63;294.333;186.318;1.56571;3.55001;80.9876;83.4901;1.52426;63;294.333;298.33;1.34391;
19;-31;181;-31;181;3.55001;80.9876;20.3333;240.667;182.97;1.74134;-8.83861;55.3999;58.4342;1.71686;20.3333;240.667;238.275;1.46804;
20;-4;6;-4;6;-8.83861;55.3999;-21;177;6.68442;2.22217;-18.8124;25.7542;33.6866;2.15141;-21;177;174.172;1.66793;
21;-23;-5;-23;-5;-18.8124;25.7542;-54;97;23.7431;-2.89984;-28.1822;-6.95348;28.216;-2.97994;-54;97;105.847;2.06162;
22;-44;-20;-44;-20;-28.1822;-6.95348;-82;-1.66667;48.6669;-2.70261;-37.0818;-42.7298;54.5519;-2.3099;-82;-1.66667;78.073;-3.07346;
23;-61;-58;-61;-58;-37.0818;-42.7298;-103.667;-120.667;84.6833;-2.37597;-48.4017;-68.2927;81.5521;-2.20112;-103.667;-120.667;159.268;-2.24606;
24;-83;-109;-83;-109;-48.4017;-68.2927;-137;-191;137.58;-2.21889;-56.4499;-95.2907;108.515;-2.11429;-137;-191;235.687;-2.16984;
