time;row_1;row_2;row_3;row_4;
1;-58.2;349;362.937;1.84332;
2;-25.6;350.2;356.731;1.75429;
3;5;351.4;353.628;1.66848;
4;31;353.4;354.044;1.59478;
5;42.4;354.4;354.954;1.5626;
6;12.4;353.8;355.376;1.6471;
7;17;349.6;350.864;1.63494;
8;18;340.8;342.018;1.63367;
9;12.6;327.6;329.242;1.65256;
10;-0.8;309.2;312.351;1.70014;
11;-26;287.2;295.101;1.79458;
12;-56.6;262.6;280.137;1.92091;
13;-88.4;238.6;271.191;2.06188;
14;-119.8;213.8;267.05;2.2099;
15;-142.2;189;262.559;2.33504;
16;-123.8;164.2;231.956;2.35177;
17;-97.4;143.4;198.641;2.33109;
18;-64.6;123.8;162.159;2.26777;
19;-25.8;103;122.408;2.13338;
20;19;78.4;81.5578;1.82474;
21;66;52.8;59.5667;1.10956;
22;114.2;24.2;78.7009;0.319805;
23;159.8;-11.2;120.782;-0.0883558;
24;199.6;-53;168.485;-0.316614;
25;228.4;-101.8;214.337;-0.492039;
26;245.6;-157;258.767;-0.649298;
27;250.6;-213.6;299.936;-0.789989;
28;244;-269.6;337.96;-0.920863;
29;224.4;-323.2;371.887;-1.0504;
30;195.2;-368.2;399.272;-1.17018;
31;158.8;-407.6;424.183;-1.28568;
32;116.4;-441.2;447.319;-1.398;
33;71.8;-468;468.573;-1.50179;
34;22.6;-488.4;488.15;-1.6054;
35;11.2;-498.6;498.861;-1.62753;
36;-12.8;-508.6;510.742;-1.67336;
37;-45;-516.2;522.534;-1.7332;
38;-78.4;-514.8;527.597;-1.79614;
