time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.7441;    0.3716;    0.0982;   -0.3453;    0.2527;   -0.5242;   -0.1659;    0.1052;    0.1380;   -0.0764;   -0.0924;    0.0569;
   2;    0.6823;    0.5433;   -0.0052;   -0.4074;    0.4047;   -0.5910;   -0.1143;    0.1501;    0.1156;   -0.0383;   -0.1610;    0.0015;
   3;    0.6222;    0.6230;    0.0141;   -0.4049;    0.3339;   -0.5604;   -0.1299;    0.0982;    0.1402;   -0.0564;   -0.1424;    0.0111;
   4;    0.7097;    0.4620;   -0.0099;   -0.3916;    0.1935;   -0.4561;   -0.0641;    0.0469;    0.1636;   -0.0988;   -0.1341;    0.0499;
   5;    0.6359;    0.4122;   -0.0667;   -0.3384;    0.1475;   -0.4053;   -0.0022;    0.0048;    0.2423;   -0.1713;   -0.1520;    0.0578;
   6;    0.7780;    0.3496;   -0.0933;   -0.3240;    0.1344;   -0.3251;   -0.0087;   -0.0667;    0.2884;   -0.1840;   -0.1689;    0.0708;
   7;    0.9676;    0.1521;   -0.0055;   -0.3428;    0.1031;   -0.2492;    0.0206;   -0.0809;    0.2419;   -0.2207;   -0.2010;    0.1407;
   8;    0.6089;    0.3336;   -0.0473;   -0.3789;    0.1425;   -0.2560;    0.1072;   -0.0864;    0.1191;   -0.2403;   -0.1493;    0.1482;
   9;    0.5103;    0.3600;   -0.1207;   -0.4311;    0.2227;   -0.2435;    0.1763;   -0.0857;    0.0021;   -0.2499;   -0.1089;    0.1297;
  10;    0.6964;    0.2801;   -0.2237;   -0.4451;    0.3015;   -0.1699;    0.1254;   -0.0882;   -0.0364;   -0.2298;   -0.1368;    0.1054;
  11;    0.8254;    0.2082;   -0.2639;   -0.3605;    0.4082;   -0.0899;   -0.0199;   -0.1721;    0.0137;   -0.1829;   -0.1836;    0.0928;
  12;    0.6912;    0.1710;   -0.2461;   -0.3223;    0.5454;   -0.1441;   -0.0793;   -0.1888;    0.0075;   -0.1697;   -0.1517;    0.0653;
  13;    0.6615;    0.0839;   -0.2217;   -0.2478;    0.5495;   -0.0338;   -0.1532;   -0.2747;    0.0163;   -0.1725;   -0.0869;    0.0712;
  14;    0.7224;    0.1063;   -0.2679;   -0.1852;    0.5229;    0.0553;   -0.1624;   -0.3154;    0.0242;   -0.2554;    0.0058;    0.0316;
  15;    0.6829;   -0.0685;   -0.0824;   -0.1179;    0.4811;    0.0544;   -0.1906;   -0.3315;    0.0554;   -0.2586;   -0.0930;    0.1200;
  16;    0.7322;   -0.1773;    0.0004;   -0.1073;    0.5607;    0.0329;   -0.2611;   -0.3134;    0.0174;   -0.1828;   -0.1619;    0.1193;
  17;    0.6492;   -0.1667;   -0.1201;    0.0147;    0.5365;    0.0057;   -0.2305;   -0.3224;    0.0049;   -0.1995;   -0.1172;    0.0637;
  18;    0.5623;   -0.2048;   -0.0109;   -0.0181;    0.5920;   -0.0267;   -0.2095;   -0.3077;   -0.0201;   -0.1663;   -0.1458;    0.0879;
  19;    0.4722;    0.0125;   -0.1358;   -0.0038;    0.6640;   -0.0468;   -0.1620;   -0.3025;   -0.0520;   -0.1792;   -0.0966;    0.0630;
  20;    0.4234;   -0.1696;    0.0258;    0.0782;    0.6023;   -0.0619;   -0.2169;   -0.2999;    0.0267;   -0.2203;   -0.1077;    0.0813;
  21;    0.3606;   -0.2081;    0.0900;    0.1413;    0.6197;   -0.0846;   -0.2737;   -0.2869;    0.0384;   -0.1713;   -0.1113;    0.0375;
