time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.3827;   -0.1841;    0.0660;   -0.4321;   -0.0153;   -0.0490;   -0.1233;    0.2027;    0.0419;   -0.2770;   -0.0581;    0.1016;
   2;    1.3006;   -0.2301;    0.0690;   -0.3531;    0.0990;   -0.0746;   -0.1681;    0.1890;   -0.0063;   -0.3029;   -0.0100;    0.1358;
   3;    1.1788;   -0.2939;    0.1672;   -0.3720;    0.3245;   -0.0949;   -0.2168;    0.1425;   -0.1061;   -0.2856;    0.0634;    0.2040;
   4;    1.0805;   -0.3079;    0.3638;   -0.4825;    0.5298;   -0.0207;   -0.2540;    0.1132;   -0.2478;   -0.1928;    0.0772;    0.1832;
   5;    1.2947;   -0.3259;    0.3894;   -0.6007;    0.6064;    0.0720;   -0.2931;    0.0393;   -0.2650;   -0.1365;    0.0095;    0.1392;
   6;    1.3040;   -0.3424;    0.3440;   -0.5050;    0.6300;   -0.0173;   -0.2830;    0.0706;   -0.2977;   -0.1666;    0.0143;    0.1137;
   7;    1.1575;   -0.3066;    0.3708;   -0.4320;    0.6620;   -0.0266;   -0.2997;    0.0471;   -0.2890;   -0.1691;    0.0170;    0.0776;
   8;    1.0530;   -0.3034;    0.4702;   -0.3830;    0.7050;   -0.0312;   -0.3467;    0.0480;   -0.2777;   -0.1452;    0.0227;    0.0280;
   9;    1.0880;   -0.3448;    0.4943;   -0.3213;    0.7701;   -0.0709;   -0.3592;    0.0850;   -0.2902;   -0.1511;    0.0370;    0.0238;
  10;    1.0245;   -0.3713;    0.6078;   -0.3292;    0.7392;   -0.0618;   -0.3892;    0.1075;   -0.3209;   -0.1824;    0.0603;   -0.0251;
  11;    1.0534;   -0.5104;    0.5274;   -0.1667;    0.7006;   -0.1244;   -0.4042;    0.0561;   -0.2592;   -0.1944;    0.0659;   -0.0236;
