time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.0673;   -0.9206;    0.3520;   -0.6378;   -0.2089;   -0.1654;   -0.2313;    0.2191;   -0.0149;   -0.3226;   -0.0856;    0.1370;
   2;    1.1350;   -1.0536;    0.3946;   -0.7111;   -0.0998;   -0.1089;   -0.3043;    0.2383;   -0.0812;   -0.3710;   -0.0582;    0.1134;
   3;    1.1219;   -1.0549;    0.3820;   -0.6926;    0.0140;   -0.0945;   -0.3370;    0.2166;   -0.1357;   -0.3908;   -0.0668;    0.1164;
   4;    1.0406;   -0.9848;    0.3661;   -0.6261;    0.1623;   -0.1210;   -0.3368;    0.1691;   -0.2201;   -0.3597;   -0.0856;    0.1266;
   5;    0.9185;   -0.9269;    0.3582;   -0.5519;    0.2992;   -0.1102;   -0.3509;    0.1213;   -0.3029;   -0.3475;   -0.0609;    0.1012;
   6;    0.8534;   -0.9063;    0.3530;   -0.5125;    0.4056;   -0.0790;   -0.3847;    0.0633;   -0.3566;   -0.3368;   -0.0230;    0.0894;
   7;    0.7548;   -0.9087;    0.3277;   -0.4758;    0.4456;   -0.0640;   -0.3827;   -0.0023;   -0.3798;   -0.2982;   -0.0101;    0.0676;
   8;    0.6729;   -0.9434;    0.3300;   -0.4116;    0.4607;   -0.0725;   -0.3792;   -0.0436;   -0.3820;   -0.2458;    0.0071;    0.0150;
   9;    0.6658;   -0.9667;    0.4148;   -0.3024;    0.4726;   -0.0879;   -0.3887;   -0.0567;   -0.3534;   -0.1828;    0.0329;   -0.0374;
  10;    0.6024;   -1.0022;    0.5233;   -0.1503;    0.5149;   -0.0803;   -0.3594;   -0.0308;   -0.3137;   -0.1337;    0.0339;   -0.1004;
  11;    0.5172;   -1.0678;    0.6264;   -0.0787;    0.5638;   -0.1177;   -0.3753;    0.0210;   -0.2925;   -0.1277;   -0.0046;   -0.1544;
  12;    0.4854;   -1.0938;    0.6814;   -0.0286;    0.5728;   -0.1635;   -0.3944;    0.0585;   -0.2819;   -0.1319;   -0.0394;   -0.1950;
