time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.5263;   -0.4863;   -0.2571;   -0.2401;   -0.0057;   -0.2419;   -0.0944;   -0.0404;   -0.0420;   -0.2079;   -0.0790;    0.2011;
   2;    1.4157;   -0.5356;   -0.1933;   -0.2759;    0.0916;   -0.2068;   -0.1376;   -0.0566;   -0.1088;   -0.1898;   -0.0515;    0.2116;
   3;    1.2776;   -0.4665;   -0.1912;   -0.2420;    0.0859;   -0.1603;   -0.1698;   -0.1634;   -0.0311;   -0.2686;   -0.0386;    0.2650;
   4;    1.1519;   -0.3932;   -0.2728;   -0.1647;    0.0567;   -0.1110;   -0.1943;   -0.2389;    0.0108;   -0.3361;    0.0217;    0.2527;
   5;    1.1021;   -0.3645;   -0.3061;   -0.0978;    0.0816;   -0.0790;   -0.2303;   -0.3022;    0.0327;   -0.3322;    0.0471;    0.2213;
   6;    1.1540;   -0.3434;   -0.3280;   -0.0347;    0.1547;   -0.0783;   -0.2689;   -0.3854;    0.0785;   -0.2913;    0.0492;    0.1663;
   7;    1.2331;   -0.3942;   -0.2901;    0.0521;    0.2344;   -0.0817;   -0.3034;   -0.4357;    0.0947;   -0.2321;    0.0118;    0.1364;
   8;    1.2657;   -0.5082;   -0.2251;    0.2023;    0.2492;   -0.0762;   -0.3313;   -0.3552;   -0.0102;   -0.1382;   -0.0306;    0.0794;
   9;    1.3503;   -0.6578;   -0.1192;    0.3142;    0.2578;   -0.0596;   -0.3589;   -0.2994;   -0.0721;   -0.0858;   -0.0582;    0.0227;
  10;    1.4121;   -0.7620;    0.0325;    0.3313;    0.3296;   -0.0983;   -0.3224;   -0.2839;   -0.1103;   -0.0702;   -0.0848;   -0.0277;
  11;    1.2979;   -0.7007;    0.0694;    0.3892;    0.3445;   -0.0968;   -0.3465;   -0.2080;   -0.1337;   -0.0884;   -0.0775;   -0.0673;
  12;    1.2727;   -0.6723;    0.1356;    0.4185;    0.3035;   -0.1036;   -0.3349;   -0.1679;   -0.1299;   -0.1087;   -0.0787;   -0.0814;
  13;    1.2308;   -0.6438;    0.1877;    0.4080;    0.3331;   -0.1380;   -0.3477;   -0.0963;   -0.1468;   -0.1275;   -0.0715;   -0.1074;
  14;    1.1869;   -0.5971;    0.1972;    0.3837;    0.3803;   -0.1521;   -0.4029;   -0.0616;   -0.1348;   -0.1241;   -0.0738;   -0.1644;
  15;    1.0252;   -0.4339;    0.2239;    0.3476;    0.3613;   -0.1214;   -0.3888;   -0.1403;   -0.0783;   -0.0991;   -0.0983;   -0.2009;
