TrialID,ObsNum,IsAlert,P1,P2,P3,P4,P5,P6,P7,P8,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
2,0,1,31.092,10.383,976,61.475,0.11157,660,90.909,0,24.593,236,0,-52,0.016127,366,2,0,1,81,0,67.51,0,1008,4.5062,0,1398,0,15.8,0,4,16.198
2,1,1,31.079,12.454,976,61.475,0.11157,660,90.909,0,24.593,236,0,-52,0.016127,366,2,0,1,81,0,67.21,-0.07,752,4.5062,0,1348,0,12.8,0,4,16.195
2,2,1,31.109,14.743,976,61.475,0.11157,668,89.82,0,24.593,236,0,-52,0.016127,366,2,0,1,81,0,67.28,-0.28,240,4.5062,0,1302,0,12.8,0,4,16.193
2,3,1,31.135,12.404,976,61.475,0.11157,668,89.82,0,24.593,236,0,-52,0.016127,366,2,0,1,81,0,67.23,-0.07,1008,4.5062,0,1324,0,13.2,0,4,16.199
2,4,1,31.13,12.61,976,61.475,0.11157,668,89.82,0,25.1,237.55,0,-52,0.016127,366,2,0,1,81,0,67.08,-0.07,496,4.5062,0,1328,0,13.2,0,4,16.198
2,5,1,31.155,13.263,976,61.475,0.11157,668,89.82,0,25.1,237.55,0,-52,0.016127,366,2,0,1,81,0,67.12,0,240,4.5062,0,1330,0,13.2,0,4,16.194
2,6,1,31.136,8.4516,976,61.475,0.11157,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.98,0,752,4.5062,0,1324,0,13.2,0,4,16.188
2,7,1,31.123,11.527,976,61.475,0.11157,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.99,-0.07,1008,5.9938,0,1321,0,13.2,0,4,16.164
2,8,1,31.127,12.326,976,61.475,0.11157,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.98,0,496,5.9938,0,1319,0,12.8,0,4,16.154
2,9,1,31.122,18.784,976,61.475,0.11157,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.81,-0.07,240,5.9938,0,1304,0,9.5,0,4,16.172
2,10,1,31.135,7.8716,936,64.103,0.11935,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.8,-0.07,1008,7.4813,0,1318,0,5.4,0,4,16.16
2,11,1,31.091,14.53,936,64.103,0.11935,668,89.82,0,0,0,0,-52,0.016127,366,2,0,1,81,0,66.82,0,496,10.5,0,1304,0,0,0,4,16.153
2,12,1,31.063,9.9653,936,64.103,0.11935,668,89.82,0,0,0,0,-42,0.015371,366,2,0,1,82,0,66.67,0.175,240,11.988,0,1290,0,0,0,4,16.157
2,13,1,30.979,8.8064,936,64.103,0.11935,668,89.82,0,0,0,0,-42,0.015371,366,2,0,1,82,0,66.4,0.175,752,11.988,0,1296,0,0,0,4,16.148
2,14,1,30.988,12.372,936,64.103,0.11935,668,89.82,0,0,0,0,-42,0.015371,366,2,0,1,82,0,66.37,0.385,1008,11.988,0,1287,0,0,0,4,16.142
2,15,1,30.985,10.541,936,64.103,0.11935,668,89.82,0,0,0,0,-42,0.015371,366,2,0,1,82,0,66.27,0.455,240,11.988,0,1280,0,0,0,4,16.161
2,16,1,31.007,17.776,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,66.03,0.665,240,11.988,0,1266,0,0,0,4,16.136
2,17,1,31.038,9.6793,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,66.03,0.665,752,13.519,0,1289,0,0,0,4,16.116
2,18,1,31.03,16.183,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,65.97,0.665,752,13.519,0,1289,0,0,0,4,16.103
2,19,1,31.07,7.8328,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,65.79,0.455,1008,13.519,0,1278,0,0,0,4,16.118
2,20,1,31.137,10.072,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,65.22,0.77,1008,15.006,0,1277,0,0,0,4,16.113
2,21,1,31.188,12.274,936,64.103,0.11935,672,89.286,0,0,0,0,-20,0.01556,366,2,0,1,82,0,65.22,0.77,1008,15.006,0,1277,0,0,0,4,16.131
2,22,1,31.274,15.726,936,64.103,0.11935,656,91.463,0,0,0,0,0,0.015938,366,2,0,1,82,0,64.92,1.155,752,19.512,0,1263,0,0,0,4,16.137
2,23,1,31.444,11.5,936,64.103,0.11935,656,91.463,0,0,0,0,0,0.015938,366,2,0,1,82,0,64.92,1.155,752,19.512,0,1263,0,0,0,4,16.129
2,24,1,31.632,13.38,1372,43.732,0.088218,656,91.463,0,0,0,0,0,0.015938,366,2,0,1,82,0,64.82,1.26,1008,19.512,0,1264,0,0,0,4,16.154
2,25,1,31.841,13.359,1372,43.732,0.088218,656,91.463,0,0,0,0,0,0.015938,366,2,0,1,82,0,64.82,1.26,1008,19.512,0,1264,0,0,0,4,16.166
2,26,1,32.145,9.0688,1372,43.732,0.088218,656,91.463,0,0,0,0,34,0.016568,365,2,0,1,82,0,64.31,1.435,1008,21,0,1248,0,0,0,4,16.193
2,27,1,32.449,11.354,1372,43.732,0.088218,656,91.463,0,0,0,0,34,0.016568,365,2,0,1,82,0,64.31,1.435,1008,21,0,1248,0,0,0,4,16.235
2,28,1,32.808,11.492,1372,43.732,0.088218,656,91.463,0,0,0,0,34,0.016568,365,2,0,1,82,0,64.21,1.365,240,22.488,0,1244,0,0,0,4,16.241
