time;row_1;row_2;
     1;   -0.8675;    0.9478;
     2;   -0.8571;    0.9491;
     3;   -0.8395;    0.9445;
     4;   -0.8302;    0.9539;
     5;   -0.8439;    0.9497;
     6;   -0.8304;    0.9671;
     7;   -0.8304;    0.9799;
     8;   -0.8114;    0.9776;
     9;   -0.8293;    0.9827;
    10;   -0.8270;    0.9743;
    11;   -0.8328;    0.9630;
    12;   -0.8289;    0.9600;
    13;   -0.8131;    0.9753;
    14;   -0.7975;    0.9704;
    15;   -0.7889;    0.9818;
    16;   -0.7739;    0.9648;
    17;   -0.7684;    0.9772;
    18;   -0.7493;    0.9709;
    19;   -0.7555;    0.9678;
    20;   -0.7630;    0.9629;
    21;   -0.7707;    0.9571;
    22;   -0.7716;    0.9745;
    23;   -0.7639;    0.9666;
    24;   -0.7741;    0.9625;
    25;   -0.7674;    0.9524;
    26;   -0.7494;    0.9403;
    27;   -0.7529;    0.9228;
    28;   -0.7461;    0.9273;
    29;   -0.7489;    0.9322;
    30;   -0.7666;    0.9256;
    31;   -0.7822;    0.9099;
    32;   -0.7631;    0.8978;
    33;   -0.7442;    0.8991;
    34;   -0.7544;    0.8890;
    35;   -0.7620;    0.8862;
    36;   -0.7674;    0.8792;
    37;   -0.7864;    0.8852;
    38;   -0.8061;    0.8742;
    39;   -0.8198;    0.8921;
    40;   -0.8031;    0.8929;
    41;   -0.8199;    0.9093;
    42;   -0.8252;    0.8928;
    43;   -0.8073;    0.8984;
    44;   -0.8149;    0.8927;
    45;   -0.8324;    0.9119;
    46;   -0.8174;    0.8965;
    47;   -0.8203;    0.9082;
    48;   -0.8276;    0.9028;
    49;   -0.8157;    0.8952;
    50;   -0.8066;    0.8963;
    51;   -0.8195;    0.8818;
    52;   -0.8334;    0.8997;
    53;   -0.8377;    0.9194;
    54;   -0.8412;    0.9358;
    55;   -0.8359;    0.9273;
    56;   -0.8326;    0.9233;
    57;   -0.8504;    0.9247;
    58;   -0.8376;    0.9301;
    59;   -0.8310;    0.9376;
    60;   -0.8399;    0.9250;
    61;   -0.8553;    0.9204;
    62;   -0.8430;    0.9056;
    63;   -0.8575;    0.8862;
    64;   -0.8396;    0.8813;
    65;   -0.8434;    0.8971;
    66;   -0.8450;    0.8909;
    67;   -0.8537;    0.8821;
    68;   -0.8356;    0.8972;
    69;   -0.8305;    0.8865;
    70;   -0.8402;    0.8953;
    71;   -0.8458;    0.9092;
    72;   -0.8351;    0.8914;
    73;   -0.8269;    0.8913;
    74;   -0.8382;    0.9031;
    75;   -0.8217;    0.8860;
    76;   -0.8183;    0.8782;
    77;   -0.8339;    0.8952;
    78;   -0.8194;    0.8983;
    79;   -0.8259;    0.9113;
    80;   -0.8257;    0.9006;
    81;   -0.8259;    0.8854;
    82;   -0.8239;    0.9031;
    83;   -0.8315;    0.9230;
    84;   -0.8174;    0.9148;
    85;   -0.8216;    0.9060;
    86;   -0.8242;    0.9149;
    87;   -0.8119;    0.9304;
    88;   -0.8143;    0.9305;
    89;   -0.8204;    0.9262;
    90;   -0.8108;    0.9419;
    91;   -0.8086;    0.9234;
    92;   -0.8061;    0.9138;
    93;   -0.7972;    0.9332;
    94;   -0.7916;    0.9257;
    95;   -0.7870;    0.9151;
    96;   -0.7971;    0.9182;
    97;   -0.7872;    0.9296;
    98;   -0.7756;    0.9110;
    99;   -0.7721;    0.9146;
   100;   -0.7732;    0.9078;
   101;   -0.7681;    0.8972;
   102;   -0.7583;    0.8799;
   103;   -0.7781;    0.8963;
   104;   -0.7930;    0.8972;
   105;   -0.7807;    0.8992;
   106;   -0.7795;    0.8850;
   107;   -0.7887;    0.9005;
   108;   -0.7927;    0.9025;
   109;   -0.7833;    0.8893;
   110;   -0.7711;    0.9089;
   111;   -0.7738;    0.8996;
   112;   -0.7754;    0.9186;
   113;   -0.7585;    0.9363;
   114;   -0.7420;    0.9374;
   115;   -0.7430;    0.9333;
