time;left front;right front;left rear;right rear;
2660.55;-28.3273;-36.0912;122.428;162.969;
2660.65;-31.3669;-41.0352;117.722;147.844;
2660.75;-21.1493;-34.2052;130.613;160.387;
2660.85;-24.8299;-31.019;125.065;154.692;
2660.95;-28.7851;-43.7269;118.821;141.636;
2661.05;-34.9925;-43.965;115.964;146.58;
2661.15;-26.9539;-37.7758;119.681;145.866;
2661.25;-29.1147;-39.8816;120.414;147.734;
2661.35;-33.2163;-41.1817;120.432;147.13;
2661.45;-31.0923;-43.2874;115.616;145.354;
2661.55;-35.9081;-42.3353;106.388;141.087;
2661.65;-43.3973;-51.7838;105.948;142.936;
2661.75;-37.4828;-51.4359;99.9237;143.175;
2661.85;-31.5317;-47.6455;103.476;149.345;
2661.95;-29.078;-49.2203;105.234;144.621;
2662.05;-29.4626;-51.3443;113.364;147.496;
2662.15;-31.7331;-56.6729;106.937;136.125;
2662.25;-37.7209;-60.4816;112.284;144.31;
2662.35;-35.8348;-55.8855;110.801;146.562;
2662.45;-28.9865;-50.8316;122.098;150.334;
2662.55;-29.2062;-49.1836;124.717;153.795;
2662.65;-25.8736;-48.7808;131.785;164.415;
2662.75;-27.0089;-49.9344;130.155;161.943;
2662.85;-29.4809;-54.4206;134.257;164.452;
2662.95;-31.0007;-53.4318;133.799;159.838;
2663.05;-24.1157;-45.7045;147.075;169.762;
2663.15;-28.9865;-58.3941;141.069;159.105;
2663.25;-17.3406;-52.1134;145.152;161.449;
2663.35;-32.6121;-65.7186;134.513;155.864;
2663.45;-33.9854;-61.0858;139.659;163.39;
2663.55;-28.6569;-62.1845;149.547;164.965;
2663.65;-28.9499;-55.5925;141.801;161.394;
2663.75;-18.2562;-43.91;158.574;180.548;
2663.85;-35.6334;-63.7959;129.734;147.588;
2663.95;-23.1635;-53.6882;148.192;171.117;
