time;left front;right front;left rear;right rear;
5307.65;-29.7555;-45.9426;133.122;150.847;
5307.75;-31.7514;-45.1918;126.072;143.962;
5307.85;-33.6009;-46.3271;129.771;145.976;
5307.95;-26.899;-40.1929;140.355;160.826;
5308.05;-19.7577;-39.1491;148.778;162.786;
5308.15;-22.1381;-41.7493;148.997;167.364;
5308.25;-23.3284;-39.9182;144.292;164.782;
5308.35;-19.3182;-38.0688;142.021;154.912;
5308.45;-25.6172;-37.08;139.933;160.167;
5308.55;-16.8462;-33.8939;148.54;168.096;
5308.65;-14.301;-31.55;153.191;170.952;
5308.75;-14.0629;-30.6711;148.448;171.538;
5308.85;-13.0558;-29.078;145.189;168.792;
5308.95;-17.4871;-34.3333;136.656;160.863;
5309.05;-17.066;-33.3628;135.301;163.72;
5309.15;-18.5491;-33.7291;131.565;159.783;
5309.25;-18.4576;-27.6864;132.701;166.887;
5309.35;-12.6896;-31.2754;139.439;170.678;
5309.45;-16.2419;-31.4585;142.259;177.709;
5309.55;-15.6377;-28.9865;142.021;178.918;
5309.65;-20.1422;-29.7922;137.077;174.926;
5309.75;-17.9266;-28.8949;142.845;176.373;
5309.85;-19.6295;-29.9936;142.424;177.728;
5309.95;-19.1534;-28.6203;142.991;180.493;
5310.05;-11.9938;-21.424;149.382;179.54;
5310.15;-17.6885;-26.4229;146.013;175.054;
5310.25;-16.9561;-27.8878;146.837;174.706;
5310.35;-16.5716;-28.5287;151.982;180.987;
5310.45;-21.2592;-35.2855;152.513;173.241;
5310.55;-21.6437;-31.9895;147.697;176.574;
5310.65;-24.0242;-34.2784;140.446;170.165;
5310.75;-30.1584;-44.3312;133.195;159.416;
5310.85;-22.1931;-36.5123;139;164.47;
5310.95;-36.1827;-49.9527;126.511;152.165;
5311.05;-24.9031;-45.1552;131.455;151.433;
