time;left front;right front;left rear;right rear;
4908.05;-24.72;-40.2295;117.887;159.178;
4908.15;-27.5582;-40.3394;116.111;158.794;
4908.25;-26.954;-41.3831;123.856;163.427;
4908.35;-28.3273;-50.795;126.109;156.78;
4908.45;-30.5796;-49.9893;118.162;157.237;
4908.55;-34.9742;-59.9506;112.668;146.818;
4908.65;-29.3344;-51.7106;112.961;150.755;
4908.75;-44.3312;-55.2446;120.56;158.263;
4908.85;-51.4725;-50.0809;127.445;164.855;
4908.95;-40.1746;-44.0565;139.018;175.842;
4909.05;-48.0667;-49.5499;127.866;167.675;
4909.15;-50.1907;-49.4217;119.041;166.155;
4909.25;-32.2642;-43.3973;132.17;174.725;
4909.35;-32.2825;-45.5397;136.106;180.731;
4909.45;-28.7118;-41.4197;136.637;173.498;
4909.55;-24.1524;-44.8073;131.199;162.951;
4909.65;-33.6741;-48.3413;126.878;158.794;
4909.75;-33.1431;-52.4613;129.386;158.849;
4909.85;-33.1065;-49.4217;133.287;162.31;
4909.95;-39.9365;-53.56;126.933;155.443;
4910.05;-42.3353;-58.0279;117.795;147.478;
4910.15;-39.7168;-50.8316;120.743;150.005;
4910.25;-42.2437;-54.4572;112.192;143.815;
4910.35;-47.1145;-58.8336;110.141;144.108;
4910.45;-53.1388;-67.0187;91.8119;127.83;
4910.55;-45.558;-62.7522;111.478;140.977;
4910.65;-56.3982;-76.87;92.4894;118.198;
4910.75;-57.387;-71.2485;98.3856;123.106;
4910.85;-54.4755;-67.8793;99.9603;128.379;
4910.95;-51.7289;-59.0167;114.335;147.221;
4911.05;-50.6302;-59.4562;108.933;141.984;
4911.15;-53.3952;-62.862;101.663;135.704;
4911.25;-61.3605;-65.8101;100.088;129.789;
4911.35;-53.7797;-62.1662;109.702;136.729;
4911.45;-55.4094;-57.8265;109.281;133.634;
