time;left front;right front;left rear;right rear;
2846.85;-26.1483;-66.5975;133.836;151.323;
2846.95;-29.4992;-74.7276;139.695;157.677;
2847.05;-18.8238;-63.5579;138.816;158.501;
2847.15;-22.248;-62.8071;149.126;168.719;
2847.25;-18.7323;-61.8549;135.008;160.918;
2847.35;-34.4432;-80.8802;123.655;144.017;
2847.45;-29.4076;-71.9993;117.264;143.87;
2847.55;-27.7047;-72.2007;115.854;145.793;
2847.65;-37.7575;-81.8506;105.527;139.311;
2847.75;-33.5276;-79.6899;112.394;142.277;
2847.85;-27.3019;-71.0837;127.995;152.293;
2847.95;-27.6864;-75.4967;128.965;151.469;
2848.05;-27.0821;-76.8517;126.768;141.197;
2848.15;-32.8684;-74.1417;126.896;157.732;
2848.25;-38.2336;-81.9788;118.418;145.994;
2848.35;-35.3404;-79.8181;131.492;164.965;
2848.45;-23.4931;-66.7623;141.545;173.589;
2848.55;-30.8908;-73.9402;127.427;158.574;
2848.65;-29.2611;-74.6727;125.12;157.347;
2848.75;-24.5186;-74.2515;125.834;153.594;
2848.85;-19.0069;-77.5658;122.758;141.911;
2848.95;-26.7892;-80.99;111.405;133.305;
2849.05;-31.8796;-88.1497;106.149;132.682;
2849.15;-24.6284;-88.9737;119.443;142.79;
2849.25;-27.0455;-82.1436;113.639;140.867;
2849.35;-31.7881;-83.4437;114.115;139.897;
2849.45;-26.5145;-76.101;119.041;141.856;
2849.55;-33.0332;-88.6624;94.8332;124.479;
2849.65;-30.5612;-76.3573;106.717;139.366;
2849.75;-29.3527;-71.981;115.342;148.466;
2849.85;-27.5399;-66.2679;117.978;162.401;
2849.95;-21.8268;-69.0512;134.989;165.752;
2850.05;-33.4727;-67.1834;122.684;159.233;
2850.15;-27.43;-63.9973;130.961;161.632;
2850.25;-33.0149;-55.3178;125.596;158.666;
