time;left front;right front;left rear;right rear;
5446.35;-11.2247;-33.0699;144.969;182.891;
5446.45;-6.33563;-33.5093;143.577;175.567;
5446.55;-0.292985;-37.9955;140.318;170.751;
5446.65;-5.6215;-33.0332;149.217;186.993;
5446.75;-8.49635;-31.2754;151.524;188.037;
5446.85;-4.41298;-27.9611;157.274;193.109;
5446.95;-19.1168;-29.9936;145.94;183.349;
5447.05;-19.0069;-37.373;141.38;175.53;
5447.15;-15.1982;-36.8236;139.824;169.652;
5447.25;-20.1056;-43.7086;139.457;162.639;
5447.35;-25.1961;-43.141;129.386;153.685;
5447.45;-21.5888;-47.261;135.85;151.671;
5447.55;-31.2021;-50.0809;120.67;155.681;
5447.65;-19.0619;-46.3271;134.697;170.275;
5447.75;-29.6091;-53.5234;119.956;157.622;
5447.85;-21.2226;-43.8185;124.735;165.917;
5447.95;-30.195;-53.1022;116.532;153.74;
5448.05;-21.1676;-45.3383;128.123;166.466;
5448.15;-23.31;-51.6739;131.529;154.253;
5448.25;-17.7618;-38.6547;137.388;166.485;
5448.35;-27.1004;-40.0098;107.816;134.587;
5448.45;-33.3445;-53.6516;104.373;130.778;
5448.55;-25.2693;-45.4115;108.823;132.92;
5448.65;-19.4464;-39.845;118.198;143.522;
5448.75;-17.597;-32.8867;121.915;152.367;
5448.85;-14.4108;-33.9488;142.827;169.982;
5448.95;-24.4819;-42.4268;130.961;167.199;
5449.05;-11.8656;-25.1961;154.161;188.824;
5449.15;-16.9744;-24.3171;153.136;192.193;
5449.25;-9.63164;-20.307;166.631;204.334;
5449.35;-10.95;-21.2958;168.407;197.687;
5449.45;-7.52587;-12.2684;161.541;194.134;
5449.55;-15.7292;-21.8451;148.704;177.361;
5449.65;-12.0304;-20.1422;153.612;185.894;
5449.75;-11.4445;-15.4729;144.292;173.589;
