time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.5122;   -0.3335;    0.4712;   -0.3840;   -0.2106;   -0.3701;   -0.1815;    0.3509;   -0.0180;   -0.1896;    0.0439;    0.0718;
   2;    1.6556;   -0.3913;    0.5178;   -0.4649;   -0.1561;   -0.3604;   -0.2544;    0.3237;   -0.0352;   -0.2341;    0.0507;    0.0999;
   3;    1.6618;   -0.4022;    0.5498;   -0.4823;   -0.1612;   -0.3397;   -0.2471;    0.3103;   -0.0907;   -0.2348;    0.0708;    0.0644;
   4;    1.7374;   -0.4821;    0.5987;   -0.5038;   -0.1491;   -0.3070;   -0.2763;    0.2647;   -0.1373;   -0.2355;    0.0770;    0.0544;
   5;    1.7953;   -0.4919;    0.6017;   -0.4745;   -0.1610;   -0.2927;   -0.2691;    0.2184;   -0.1006;   -0.2547;    0.0049;    0.1061;
   6;    1.8383;   -0.4445;    0.5905;   -0.5136;   -0.1191;   -0.2671;   -0.3116;    0.2273;   -0.0301;   -0.3240;   -0.0774;    0.1535;
   7;    1.6976;   -0.3880;    0.4648;   -0.4734;   -0.0369;   -0.2633;   -0.3039;    0.2614;   -0.0621;   -0.3907;   -0.0544;    0.1371;
   8;    1.6792;   -0.3295;    0.3554;   -0.4323;    0.0351;   -0.1978;   -0.3157;    0.2724;   -0.0885;   -0.4217;   -0.0595;    0.0600;
   9;    1.6152;   -0.4679;    0.3893;   -0.4080;    0.0303;   -0.0483;   -0.3147;    0.1458;   -0.0843;   -0.3527;   -0.1100;    0.0026;
  10;    1.6758;   -0.5801;    0.4182;   -0.4382;    0.1180;   -0.0388;   -0.3539;    0.0921;   -0.1338;   -0.3291;   -0.1148;    0.0047;
  11;    1.6845;   -0.5455;    0.3250;   -0.3487;    0.2367;   -0.1357;   -0.4157;    0.1112;   -0.2070;   -0.3137;   -0.0434;   -0.0204;
  12;    1.6332;   -0.6008;    0.3855;   -0.2826;    0.3233;   -0.1543;   -0.4846;    0.0832;   -0.2365;   -0.2858;    0.0048;   -0.0249;
  13;    1.6343;   -0.5755;    0.4793;   -0.2065;    0.4789;   -0.1877;   -0.6190;    0.0411;   -0.2015;   -0.2214;    0.0188;   -0.0543;
  14;    1.5657;   -0.5080;    0.4460;   -0.0874;    0.5567;   -0.2046;   -0.5889;    0.0011;   -0.2023;   -0.1563;    0.0150;   -0.0647;
  15;    1.4736;   -0.5856;    0.4143;    0.0242;    0.4554;   -0.1399;   -0.4564;   -0.0188;   -0.2644;   -0.2069;    0.0896;   -0.0037;
  16;    1.4901;   -0.6533;    0.4464;    0.0664;    0.4810;   -0.1037;   -0.4361;   -0.0116;   -0.3006;   -0.2296;    0.1320;   -0.0061;
  17;    1.4842;   -0.6161;    0.3757;    0.0894;    0.5372;   -0.1018;   -0.4692;   -0.0171;   -0.2657;   -0.2392;    0.0903;   -0.0144;
  18;    1.6937;   -0.7905;    0.4897;    0.0130;    0.5432;   -0.0526;   -0.5391;   -0.0109;   -0.2434;   -0.2689;    0.0839;   -0.0374;
  19;    1.5761;   -0.8623;    0.4641;    0.0815;    0.5522;   -0.0131;   -0.5228;   -0.0131;   -0.2302;   -0.3002;    0.0726;   -0.0465;
