time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.1860;   -0.1725;    0.8175;   -0.4725;   -0.0794;   -0.3767;   -0.2087;    0.3967;   -0.2249;   -0.2533;    0.0984;   -0.0559;
   2;    1.2450;   -0.1021;    0.8390;   -0.5634;   -0.0546;   -0.3713;   -0.1890;    0.4427;   -0.2624;   -0.2578;    0.0570;   -0.1270;
   3;    1.1471;   -0.0746;    0.8363;   -0.5783;   -0.1068;   -0.3278;   -0.1332;    0.3842;   -0.2343;   -0.2298;   -0.0098;   -0.1435;
   4;    1.0370;    0.0085;    0.7951;   -0.6892;   -0.0334;   -0.3179;   -0.1490;    0.3323;   -0.2131;   -0.2222;   -0.0712;   -0.1045;
   5;    1.1901;   -0.1135;    0.7548;   -0.6682;   -0.0477;   -0.2094;   -0.2538;    0.3044;   -0.1228;   -0.2775;   -0.0884;   -0.0837;
   6;    1.2547;   -0.3728;    0.7819;   -0.6191;   -0.0876;   -0.1421;   -0.3505;    0.2902;   -0.0592;   -0.3642;   -0.0912;   -0.0239;
   7;    1.2249;   -0.4975;    0.7963;   -0.5867;   -0.0144;   -0.1760;   -0.4523;    0.2840;   -0.0822;   -0.3832;   -0.0452;    0.0013;
   8;    1.2910;   -0.3961;    0.6842;   -0.5583;    0.1064;   -0.1059;   -0.4082;    0.2542;   -0.1231;   -0.3948;   -0.0657;   -0.0168;
   9;    1.3680;   -0.4497;    0.5428;   -0.5720;    0.2727;   -0.0916;   -0.3865;    0.2429;   -0.2418;   -0.4290;   -0.0503;    0.0234;
  10;    1.3633;   -0.5514;    0.4761;   -0.5415;    0.2876;   -0.0322;   -0.3618;    0.2124;   -0.2796;   -0.4530;   -0.0484;    0.0310;
  11;    1.2759;   -0.6219;    0.4307;   -0.5175;    0.3090;    0.0752;   -0.3863;    0.1191;   -0.2577;   -0.4083;   -0.0310;    0.0034;
  12;    1.3633;   -0.7242;    0.4496;   -0.4885;    0.3523;    0.0660;   -0.4211;    0.0999;   -0.2936;   -0.3917;    0.0394;    0.0206;
  13;    1.4813;   -0.7957;    0.5691;   -0.4395;    0.3819;    0.0573;   -0.4840;    0.0845;   -0.2929;   -0.4029;    0.0796;    0.0793;
  14;    1.2482;   -0.7968;    0.7237;   -0.3407;    0.3774;    0.0633;   -0.4748;    0.0464;   -0.2844;   -0.3688;    0.0836;    0.0644;
  15;    1.2600;   -0.8292;    0.7320;   -0.2402;    0.4221;    0.0658;   -0.5049;    0.0145;   -0.2681;   -0.3384;    0.0906;    0.0087;
  16;    1.4074;   -0.7773;    0.5892;   -0.0652;    0.3799;   -0.0458;   -0.3656;   -0.0271;   -0.3105;   -0.2847;    0.0308;    0.0154;
  17;    1.4034;   -0.8011;    0.6590;   -0.0351;    0.4425;   -0.1336;   -0.4372;   -0.0196;   -0.3230;   -0.2033;    0.0322;   -0.0669;
  18;    1.2804;   -0.7683;    0.5168;    0.1617;    0.5342;   -0.1594;   -0.4106;   -0.0108;   -0.3802;   -0.1752;    0.0963;   -0.1300;
