time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;42;154;42;154;25.9674;105.177;74.6667;310.667;158.742;1.3079;25.9674;105.177;111.728;1.41024;74.6667;310.667;326.501;1.36019;
2;42;155;24;160;23.9542;105.697;68.6667;312.333;159.708;1.30952;7.62778;106.159;111.274;1.57509;60;314.667;327.698;1.40652;
3;37;154;11;161;20.8021;106.551;60;314.667;157.517;1.33855;-3.86989;104.047;109.815;1.68006;49.6667;313.667;325.177;1.43737;
4;24;160;-7;157;16.3442;106.546;49.6667;313.667;160.977;1.42583;-17.7784;100.29;108.535;1.8116;25.3333;312.333;321.511;1.5119;
5;11;161;-31;150;7.62778;106.159;25.3333;312.333;160.616;1.50691;-33.9976;94.2285;107.896;1.97167;-7.33333;306.333;315.253;1.6144;
6;-7;157;-56;137;-3.86989;104.047;-7.33333;306.333;156.48;1.62032;-50.5953;86.6582;108.94;2.13985;-47.3333;296.667;309.981;1.74505;
7;-31;150;-83;125;-17.7784;100.29;-47.3333;296.667;152.626;1.78032;-66.0555;78.3984;111.688;2.29696;-94;280;305.587;1.90559;
8;-56;137;-116;110;-33.9976;94.2285;-94;280;147.63;1.96533;-79.0162;68.943;114.344;2.43708;-141.667;258.667;305.563;2.0767;
9;-83;125;-132;97;-50.5953;86.6582;-141.667;258.667;149.87;2.16372;-90.2766;58.7407;117.288;2.56589;-186.667;235;310.852;2.24097;
10;-116;110;-142;86;-66.0555;78.3984;-186.667;235;159.917;2.38918;-99.1972;48.3289;119.875;2.6795;-225.333;207;316.538;2.39222;
11;-132;97;-147;66;-79.0162;68.943;-225.333;207;163.99;2.51405;-105.376;38.1534;121.45;2.77734;-260.667;177;325.245;2.53423;
12;-142;86;-162;47;-90.2766;58.7407;-260.667;177;166.284;2.60303;-109.91;28.2303;122.636;2.86623;-289.333;146.667;334.032;2.65809;
13;-147;66;-169;34;-99.1972;48.3289;-289.333;146.667;161.528;2.7255;-113.297;18.3626;123.652;2.95057;-308;117.333;338.7;2.76057;
14;-162;47;-172;22;-105.376;38.1534;-308;117.333;169.2;2.86449;-116.075;7.91739;124.862;3.03704;-321.333;88.3333;341.782;2.85397;
15;-169;34;-172;10;-109.91;28.2303;-321.333;88.3333;172.979;2.94794;-117.469;-2.09637;125.611;3.11757;-331.667;58.3333;344.642;2.94608;
16;-172;22;-173;-4;-113.297;18.3626;-331.667;58.3333;174.053;3.01898;-118.236;-12.0892;126.534;-3.08644;-341.333;26.6667;349.528;3.04047;
17;-172;10;-176;-29;-116.075;7.91739;-341.333;26.6667;172.995;3.08788;-118.336;-30.504;128.965;-2.94342;-346;-2.33333;352.465;3.12376;
18;-173;-4;-176;-40;-117.469;-2.09637;-346;-2.33333;173.81;-3.11448;-113.277;-46.5759;128.268;-2.81244;-348.333;-31;355.448;-3.07859;
19;-176;-29;-176;-52;-118.236;-12.0892;-348.333;-31;179.226;-2.97504;-101.637;-61.4345;123.351;-2.66744;-349;-59;358.962;-3.00078;
20;-176;-40;-174;-62;-118.507;-21.7299;-349;-59;181.374;-2.9152;-94.2565;-68.3303;120.309;-2.58835;-348.667;-85.3333;363.268;-2.92882;
21;-176;-52;-162;-81;-118.336;-30.504;-348.667;-85.3333;184.439;-2.85176;-85.7842;-74.778;116.912;-2.50325;-345;-111;366.019;-2.8581;
22;-174;-62;-144;-100;-116.976;-38.6894;-345;-111;185.658;-2.79703;-77.3385;-80.1809;113.735;-2.42076;-334.333;-134.667;363.309;-2.78729;
23;-171;-69;-135;-107;-113.277;-46.5759;-334.333;-134.667;185.355;-2.75601;-66.4512;-86.2474;110.188;-2.31398;-320.667;-157;359.159;-2.7157;
24;-162;-81;-121;-114;-108.267;-54.2204;-320.667;-157;182.107;-2.67628;-54.4115;-92.2698;107.259;-2.19304;-302.333;-177.667;351.993;-2.64065;
25;-144;-100;-112;-122;-101.637;-61.4345;-302.333;-177.667;176.336;-2.5337;-41.0758;-98.0448;105.143;-2.05755;-281.667;-197.667;344.567;-2.56084;
26;-135;-107;-96;-128;-94.2565;-68.3303;-281.667;-197.667;173.288;-2.47084;-25.5991;-102.99;103.516;-1.90244;-256.667;-217.333;335.813;-2.47091;
27;-121;-114;-86;-132;-85.7842;-74.778;-256.667;-217.333;167.275;-2.38593;-9.13249;-106.816;103.152;-1.7387;-231.333;-234.333;327.823;-2.38214;
28;-112;-122;-47;-155;-77.3385;-80.1809;-231.333;-234.333;166.643;-2.31389;8.29999;-109.288;104.174;-1.56893;-199;-252.667;318.986;-2.27044;
29;-96;-128;-31;-159;-66.4512;-86.2474;-199;-252.667;161.017;-2.21535;24.6061;-108.906;105.096;-1.41314;-164.333;-270;312.206;-2.14944;
30;-86;-132;-8;-163;-54.4115;-92.2698;-164.333;-270;158.547;-2.14973;40.9086;-106.865;106.908;-1.25893;-126.667;-286.333;307.951;-2.01765;
31;-47;-155;22;-164;-41.0758;-98.0448;-126.667;-286.333;162.868;-1.86832;56.2682;-103.102;109.185;-1.11396;-82;-300.333;304.816;-1.86507;
32;-31;-159;47;-163;-25.5991;-102.99;-82;-300.333;162.836;-1.76701;70.9542;-97.4039;111.657;-0.972942;-34.3333;-312;306.104;-1.70429;
33;-8;-163;71;-160;-9.13249;-106.816;-34.3333;-312;163.945;-1.62417;84.9256;-90.2989;114.707;-0.836986;18;-321.333;312.928;-1.53375;
