time;row_1;row_2;row_3;row_4;
1;-50.8991;69.0171;72.2034;2.22656;
2;-56.8359;62.3803;71.104;2.34996;
3;-63.7189;52.2438;69.7716;2.5231;
4;-67.3745;43.0217;68.0879;2.66506;
5;-72.0542;25.6366;66.6365;2.93227;
6;-69.7636;12.1597;62.8924;3.13571;
7;-60.6691;1.8757;54.7027;-2.95935;
8;-44.7217;-3.26212;40.7326;-2.76309;
9;-26.4834;-4.92665;25.7689;-2.43571;
10;3.31586;10.2126;10.3095;-0.153585;
11;29.5935;25.4628;38.9449;0.358733;
12;49.6575;35.8859;61.4511;0.402935;
13;60.5282;36.1188;71.657;0.346407;
14;63.0601;21.926;70.6631;0.143942;
15;60.209;-1.5485;68.3944;-0.196277;
16;48.0016;-38.0712;74.1435;-0.737572;
17;41.5422;-52.8477;80.7586;-0.927926;
18;32.9121;-83.0699;102.865;-1.17368;
