time;row_1;row_2;row_3;row_4;
1;-16.8;444;240.952;1.40709;
2;-29;452.2;247.416;1.46117;
3;-44.4;454.6;248.605;1.52384;
4;-62.6;451;244.818;1.59748;
5;-85.2;437.4;232.96;1.69617;
6;-107;416.2;216.021;1.80881;
7;-145;399.8;212.986;2.00154;
8;-182.8;374.8;210.864;2.21556;
9;-215.4;342.2;209.436;2.43528;
10;-240.8;304;208.99;2.65498;
11;-250.6;264;202.917;2.8531;
12;-247.8;226;192.744;3.03904;
13;-233.8;194.2;178.14;-3.07379;
14;-208.8;172.8;156.355;-2.92587;
15;-170.2;166.2;120.96;-2.80396;
16;-123.8;171.4;76.1797;-2.66616;
17;-75.8;187.4;27.3011;-2.37852;
18;-28.2;195.2;29.9867;-0.378073;
19;14.4;197.6;71.0002;-0.122403;
20;50.8;191.8;107.844;-0.134572;
21;72.2;170.4;133.19;-0.272674;
22;86.6;138.6;157.904;-0.442883;
23;95;95.8;187.15;-0.631392;
24;98.6;38.6;228.113;-0.825707;
25;94.8;-22.6;274.121;-0.987985;
26;92.2;-32;280.635;-1.01416;
27;85.4;-76;315.736;-1.1062;
28;77.8;-146.8;377.596;-1.20839;
29;74.2;-227;452.429;-1.27873;
