time;row;
     1;  12.20003;
     2;  11.87534;
     3;  11.12917;
     4;  17.59700;
     5;  19.90693;
     6;  18.79548;
     7;  13.06859;
     8;  13.85143;
     9;  19.49266;
    10;  22.50884;
    11;  21.94719;
    12;  16.98632;
    13;  12.24488;
    14;  15.34915;
    15;  17.80681;
    16;  17.87841;
    17;  13.06388;
    18;  12.32618;
    19;  14.20575;
    20;  16.36583;
    21;  16.67988;
    22;  11.59943;
    23;  12.03257;
    24;  13.17911;
    25;  14.85848;
    26;  15.49009;
    27;   9.97148;
    28;  11.88440;
    29;  12.53999;
    30;  14.19943;
    31;  15.39765;
    32;  12.57305;
    33;  11.42316;
    34;  12.28098;
    35;  13.92615;
    36;  14.99336;
    37;  13.17804;
    38;  11.60813;
    39;  11.81179;
    40;  13.31476;
    41;  14.80819;
    42;  13.37608;
    43;  11.87035;
    44;  11.61035;
    45;  12.99134;
    46;  14.13007;
    47;  13.36683;
    48;  11.77733;
    49;  11.88808;
    50;  13.73623;
    51;  14.74783;
    52;  13.97746;
    53;  12.37365;
    54;  13.38156;
    55;  15.55305;
    56;  17.12804;
    57;  16.23461;
    58;  16.16499;
    59;  16.39853;
    60;  18.18147;
    61;  19.57571;
    62;  19.74539;
    63;  18.15800;
    64;  15.14157;
    65;  16.99155;
    66;  18.47687;
    67;  18.50914;
    68;  16.98855;
    69;  14.29087;
    70;  15.98469;
    71;  14.82601;
    72;  15.43399;
    73;  15.81668;
    74;  14.26214;
    75;  16.74424;
    76;  18.21972;
    77;  18.33310;
    78;  16.79976;
    79;  13.59515;
    80;  12.52337;
    81;  13.95190;
    82;  15.30379;
    83;  14.35676;
    84;  12.30813;
    85;  12.91705;
    86;  14.28458;
    87;  15.80209;
    88;  16.09248;
    89;  14.84434;
    90;  11.89903;
    91;  13.09847;
    92;  14.60363;
    93;  14.86993;
    94;  14.13722;
    95;  12.90528;
    96;  14.28560;
    97;  15.60514;
    98;  16.18261;
    99;  15.32140;
   100;  14.00787;
   101;  16.06372;
   102;  17.29619;
   103;  17.81391;
   104;  16.89822;
   105;  15.93552;
   106;  15.85500;
   107;  17.37367;
   108;  18.25401;
   109;  17.84788;
   110;  15.98474;
   111;  14.92035;
   112;  14.55168;
   113;  15.07156;
   114;  14.45205;
   115;  12.44889;
   116;  10.71169;
   117;  10.28652;
   118;  11.84029;
   119;  12.83116;
   120;  12.28636;
   121;  12.13292;
   122;  11.86003;
   123;  12.37407;
   124;  11.27207;
   125;  10.09033;
   126;   9.30726;
   127;   9.39131;
   128;  10.61761;
   129;  10.21484;
   130;   8.74737;
   131;   9.25037;
   132;   8.60525;
   133;   9.29130;
   134;   7.88764;
   135;   8.98761;
   136;   2.42680;
   137;   9.07901;
   138;   9.49821;
   139;  10.52102;
   140;  10.13987;
   141;  10.23699;
   142;  11.50078;
   143;  13.38596;
   144;  13.98008;
   145;  13.55556;
   146;  10.51237;
   147;  10.41686;
   148;  11.21170;
   149;  12.53281;
   150;  13.26809;
   151;  11.37767;
   152;  11.52714;
   153;  11.43647;
   154;  12.39512;
   155;  12.38955;
   156;  10.43686;
   157;  10.78402;
   158;   9.24662;
   159;  11.44878;
   160;  12.36319;
   161;  11.13297;
   162;  11.62395;
   163;  10.17221;
   164;  12.55949;
   165;  13.54078;
   166;  13.01915;
   167;  13.57709;
   168;   9.29371;
   169;  12.04790;
   170;  12.55841;
   171;  12.25135;
   172;  10.12884;
   173;  10.03182;
   174;   9.12334;
   175;  10.69945;
   176;   9.85683;
   177;   9.70316;
   178;  10.20509;
   179;   9.46558;
   180;   8.60398;
   181;   8.49059;
   182;   5.39299;
   183;   9.52363;
   184;   8.40553;
   185;  10.13396;
   186;  10.56868;
   187;  10.40177;
   188;  10.02832;
   189;   8.96138;
   190;   9.22693;
   191;   9.44652;
   192;   7.42157;
   193;   7.58016;
   194;   6.57710;
   195;   7.01467;
   196;   7.58754;
   197;   7.28743;
   198;   7.62130;
   199;   5.76799;
   200;   6.86579;
   201;   8.40081;
   202;   4.92278;
   203;   7.22305;
   204;   6.67750;
   205;   6.41803;
   206;   9.21995;
   207;   7.24686;
   208;   8.21544;
   209;   9.26876;
   210;   8.60083;
   211;  10.17918;
   212;   9.18258;
   213;   8.06019;
   214;   9.39910;
   215;   9.18882;
   216;  11.35034;
   217;  11.87524;
   218;  12.65652;
   219;  12.80841;
   220;  12.06655;
   221;  12.72298;
   222;  13.00873;
   223;  11.06024;
   224;  11.78129;
   225;  10.96406;
   226;  10.98536;
   227;  12.02929;
   228;  10.83018;
   229;  13.00682;
   230;  12.16557;
   231;  13.19749;
   232;  14.11724;
   233;  13.58606;
   234;  13.49446;
   235;  12.32411;
   236;   9.40950;
   237;  10.48087;
   238;  11.04214;
   239;  11.13963;
   240;  10.90286;
   241;  10.17692;
   242;  11.86336;
   243;  11.49881;
   244;   8.56422;
   245;   9.90743;
   246;   9.80612;
   247;   9.43189;
   248;   9.32057;
   249;   9.79020;
   250;  10.80007;
   251;   8.45666;
   252;  10.23043;
   253;   8.77277;
   254;   9.22565;
   255;  10.65890;
   256;   6.26031;
