time;row_1;row_2;row_3;row_4;
1;-10;192.2;177.903;1.32944;
2;1.6;185.4;174.549;1.25553;
3;12.2;177.6;170.878;1.18233;
4;17;167;163.105;1.13046;
5;6.8;153.8;146.861;1.15498;
6;-12.8;141;127.873;1.25492;
7;-21.4;121.2;106.4;1.27395;
8;-40.2;100.8;82.2743;1.42045;
9;-62.8;82;63.3848;1.73365;
10;-89.8;67.2;60.5745;2.23368;
11;-118.6;52.6;73.9245;2.67664;
12;-146.8;38.2;96.1226;2.94531;
13;-172.4;22.6;119.918;3.11535;
14;-194.6;9;142.461;-3.06815;
15;-201.8;-3.4;151.016;-2.98968;
16;-193.6;-17.8;145.913;-2.88342;
17;-171.6;-36;131.356;-2.70576;
18;-139;-54.6;113.852;-2.43343;
19;-100;-71.8;102.866;-2.05053;
20;-57.6;-89.6;109.172;-1.61732;
21;-14.8;-101.6;126.795;-1.26871;
22;24.8;-109;149.931;-1.02894;
23;29.8;-115;157.654;-1.0214;
24;58;-129.2;185.239;-0.931473;
25;98;-140.8;219.86;-0.816699;
26;134;-136;242.81;-0.694795;
