time;row_1;row_2;row_3;row_4;
1;-163.2;327.8;387.446;2.06023;
2;-120.2;328.8;370.113;1.95623;
3;-81.6;329.8;358.355;1.85519;
4;-56.4;322.4;344.891;1.79104;
5;-48.2;308;329.083;1.77628;
6;-64.6;284.8;310.414;1.8433;
7;-42.2;258;278.944;1.7918;
8;-30;227.8;246.861;1.7704;
9;-26.8;196.6;215.668;1.78454;
10;-29.8;167.6;188.183;1.83282;
11;-35.6;139.6;163.149;1.9117;
12;-50.6;111.4;143.534;2.07662;
13;-57.4;83.4;123.882;2.23481;
14;-49.8;63;103.343;2.2986;
15;-31.2;45.8;78.1658;2.2673;
16;-0.2;28;46.304;1.99709;
17;40.8;5.4;29.3285;0.730077;
18;86.6;-20.2;67.9224;-0.0890429;
19;129.4;-58;118.836;-0.37784;
20;164.8;-103.4;170.988;-0.549085;
21;190;-152;219.68;-0.678286;
22;193.4;-205.4;258.857;-0.83127;
23;181.2;-258.8;293.556;-0.985175;
24;156.2;-310.4;326.491;-1.13692;
25;122.4;-358.2;359.258;-1.2787;
26;81.4;-397.2;388.098;-1.40917;
27;75.2;-417;406.749;-1.43205;
28;57;-443.4;430.923;-1.48237;
29;14.4;-460.6;446.463;-1.58098;
30;-36.6;-468.4;457.624;-1.69248;
