time;row_1;row_2;row_3;
   1;   -0.0495;    0.1327;    0.7514;
   2;   -0.0761;    0.1759;    0.9806;
   3;   -0.1020;    0.2113;    1.1488;
   4;   -0.1230;    0.2376;    1.2506;
   5;   -0.1390;    0.2565;    1.3016;
   6;   -0.1543;    0.2697;    1.3186;
   7;   -0.1745;    0.2773;    1.3123;
   8;   -0.2036;    0.2789;    1.2892;
   9;   -0.2428;    0.2732;    1.2491;
  10;   -0.2915;    0.2592;    1.1862;
  11;   -0.3484;    0.2358;    1.0999;
  12;   -0.4125;    0.2022;    1.0025;
  13;   -0.4827;    0.1573;    0.9098;
  14;   -0.5578;    0.0995;    0.8262;
  15;   -0.6362;    0.0273;    0.7490;
  16;   -0.7165;   -0.0602;    0.6793;
  17;   -0.7970;   -0.1626;    0.6197;
  18;   -0.8765;   -0.2785;    0.5633;
  19;   -0.9534;   -0.4067;    0.4989;
  20;   -1.0258;   -0.5471;    0.4252;
  21;   -1.0911;   -0.6993;    0.3521;
  22;   -1.1459;   -0.8614;    0.2879;
  23;   -1.1856;   -1.0293;    0.2349;
  24;   -1.2054;   -1.1969;    0.1931;
  25;   -1.2002;   -1.3559;    0.1597;
  26;   -1.1654;   -1.4965;    0.1277;
  27;   -1.0969;   -1.6071;    0.0916;
  28;   -0.9919;   -1.6754;    0.0536;
  29;   -0.8507;   -1.6910;    0.0176;
  30;   -0.6783;   -1.6487;   -0.0166;
  31;   -0.4835;   -1.5496;   -0.0481;
  32;   -0.2773;   -1.3999;   -0.0694;
  33;   -0.0696;   -1.2087;   -0.0736;
  34;    0.1329;   -0.9859;   -0.0609;
  35;    0.3269;   -0.7406;   -0.0351;
  36;    0.5110;   -0.4797;    0.0002;
  37;    0.6844;   -0.2067;    0.0380;
  38;    0.8466;    0.0767;    0.0667;
  39;    0.9990;    0.3687;    0.0797;
  40;    1.1442;    0.6658;    0.0802;
  41;    1.2849;    0.9626;    0.0739;
  42;    1.4209;    1.2537;    0.0634;
  43;    1.5498;    1.5336;    0.0523;
  44;    1.6685;    1.7977;    0.0466;
  45;    1.7758;    2.0432;    0.0478;
  46;    1.8723;    2.2697;    0.0505;
  47;    1.9582;    2.4780;    0.0516;
  48;    2.0309;    2.6688;    0.0546;
  49;    2.0842;    2.8402;    0.0620;
  50;    2.1093;    2.9859;    0.0707;
  51;    2.0979;    3.0945;    0.0800;
  52;    2.0436;    3.1509;    0.0958;
  53;    1.9429;    3.1406;    0.1215;
  54;    1.7943;    3.0530;    0.1505;
  55;    1.5991;    2.8850;    0.1704;
  56;    1.3629;    2.6417;    0.1723;
  57;    1.0970;    2.3363;    0.1541;
  58;    0.8165;    1.9882;    0.1198;
  59;    0.5362;    1.6191;    0.0792;
  60;    0.2668;    1.2482;    0.0435;
  61;    0.0143;    0.8884;    0.0195;
  62;   -0.2183;    0.5446;    0.0071;
  63;   -0.4295;    0.2161;    0.0021;
  64;   -0.6197;   -0.1010;    0.0005;
  65;   -0.7914;   -0.4120;    0.0001;
  66;   -0.9471;   -0.7219;    0.0000;
  67;   -1.0884;   -1.0338;    0.0000;
  68;   -1.2146;   -1.3477;    0.0000;
  69;   -1.3241;   -1.6591;    0.0000;
  70;   -1.4151;   -1.9600;    0.0000;
  71;   -1.4865;   -2.2409;    0.0000;
  72;   -1.5381;   -2.4929;    0.0000;
  73;   -1.5700;   -2.7084;    0.0000;
  74;   -1.5825;   -2.8818;    0.0000;
  75;   -1.5760;   -3.0092;    0.0000;
  76;   -1.5503;   -3.0882;    0.0000;
  77;   -1.5045;   -3.1179;   -0.0000;
  78;   -1.4362;   -3.0978;   -0.0000;
  79;   -1.3419;   -3.0273;   -0.0000;
  80;   -1.2182;   -2.9052;   -0.0000;
  81;   -1.0637;   -2.7316;   -0.0000;
  82;   -0.8806;   -2.5094;   -0.0000;
  83;   -0.6755;   -2.2458;   -0.0000;
  84;   -0.4577;   -1.9506;   -0.0000;
  85;   -0.2363;   -1.6345;   -0.0000;
  86;   -0.0187;   -1.3077;   -0.0002;
  87;    0.1898;   -0.9793;   -0.0012;
  88;    0.3856;   -0.6574;   -0.0057;
  89;    0.5660;   -0.3492;   -0.0226;
  90;    0.7298;   -0.0598;   -0.0731;
  91;    0.8772;    0.2081;   -0.1948;
  92;    1.0090;    0.4536;   -0.4353;
  93;    1.1246;    0.6749;   -0.8294;
  94;    1.2204;    0.8677;   -1.3684;
  95;    1.2907;    1.0238;   -1.9777;
  96;    1.3290;    1.1322;   -2.5262;
  97;    1.3323;    1.1845;   -2.8804;
  98;    1.3050;    1.1831;   -2.9825;
  99;    1.2608;    1.1454;   -2.8854;
 100;    1.2164;    1.0963;   -2.7080;
 101;    1.1836;    1.0561;   -2.5519;
 102;    1.1649;    1.0319;   -2.4567;
 103;    1.1567;    1.0208;   -2.4132;
 104;    1.1538;    1.0168;   -2.3979;
 105;    1.1530;    1.0157;   -2.3937;
 106;    1.1528;    1.0155;   -2.3928;
 107;    1.1528;    1.0155;   -2.3927;
 108;    1.1528;    1.0155;   -2.3927;
 109;    1.1528;    1.0155;   -2.3926;
 110;    1.1528;    1.0154;   -2.3926;
 111;    1.1527;    1.0153;   -2.3924;
 112;    1.1520;    1.0147;   -2.3909;
 113;    1.1488;    1.0119;   -2.3843;
 114;    1.1370;    1.0015;   -2.3599;
 115;    1.1030;    0.9716;   -2.2893;
 116;    1.0255;    0.9033;   -2.1284;
 117;    0.8861;    0.7805;   -1.8390;
 118;    0.6878;    0.6059;   -1.4276;
