time;row_1;row_2;row_3;row_4;
1;-72.6125;109.43;135.903;2.22754;
2;-60.372;109.67;128.995;2.15118;
3;-47.261;110.8;123.296;2.05709;
4;-32.3458;112.694;118.836;1.9384;
5;-6.44977;116.236;115.667;1.71666;
6;-3.22146;116.456;115.46;1.68871;
7;-10.1956;114.542;114.603;1.75115;
8;-24.6932;107.392;111.261;1.89132;
9;-42.9506;94.6673;107.084;2.09192;
10;-60.7198;75.7592;102.581;2.33634;
11;-74.3546;52.4228;98.6904;2.60295;
12;-72.9634;30.7291;88.205;2.8074;
13;-70.2067;10.4292;81.0295;3.03486;
14;-63.656;-3.35141;74.1966;-3.07214;
15;-53.2083;-10.8832;64.8224;-2.9447;
16;-39.569;-12.4027;51.9107;-2.86451;
17;-22.2321;-9.92436;34.6375;-2.79637;
18;-3.28908;-6.38444;15.9149;-2.60164;
19;16.1372;-3.0637;7.54886;-0.699634;
20;34.2977;-2.37012;24.296;-0.172379;
21;50.6186;-4.64158;40.7686;-0.158601;
22;64.8195;-10.1065;55.7436;-0.215202;
23;77.6395;-20.0279;70.7293;-0.313693;
24;89.545;-32.3692;86.24;-0.407351;
25;99.679;-46.1621;101.379;-0.492773;
26;106.183;-61.2317;114.692;-0.581824;
27;107.926;-76.7978;125.284;-0.678129;
28;105.564;-91.5096;133.303;-0.775345;
29;97.2636;-103.243;136.328;-0.879617;
30;83.7248;-112.516;135.829;-1.00023;
31;65.9178;-119.399;133.323;-1.14098;
32;47.1017;-123.374;130.452;-1.2853;
33;40.4863;-124.937;130.265;-1.33743;
34;25.696;-125.423;128.142;-1.45084;
