time;row_1;row_2;row_3;row_4;
1;-101.693;80.5869;140.769;2.54766;
2;-90.8508;80.7783;132.038;2.50049;
3;-74.421;80.8655;119.334;2.41747;
4;-55.4949;80.8733;105.907;2.29874;
5;-22.9695;80.6628;87.5056;2.01924;
6;9.5447;79.886;78.2649;1.64016;
7;35.9466;79.0266;80.016;1.30553;
8;51.2139;76.505;83.0248;1.11904;
9;54.2681;71.4149;79.9333;1.05682;
10;46.6255;63.8558;69.6555;1.09902;
11;29.6361;54.5907;54.7813;1.29976;
12;8.1821;44.8089;43.532;1.72735;
13;-13.2727;35.5879;44.0296;2.26716;
14;-30.0921;28.3864;52.3152;2.60871;
15;-36.9587;24.6183;56.7166;2.72772;
16;-34.2513;22.7717;53.4986;2.73897;
17;-23.0676;22.0734;43.0981;2.65209;
18;-5.36386;20.8999;27.8907;2.3877;
19;15.0196;18.2332;16.424;1.56774;
20;35.4983;13.7637;23.756;0.527318;
21;52.6705;5.61311;37.8925;0.100554;
22;66.3528;-4.80402;51.8073;-0.128001;
23;76.9024;-18.3963;65.1457;-0.315361;
24;83.7325;-33.8831;77.4746;-0.478781;
25;87.9198;-50.0782;89.5214;-0.61825;
26;88.8554;-65.9172;100.23;-0.74193;
27;86.5756;-79.315;108.206;-0.847637;
28;79.5044;-91.0819;113.109;-0.963611;
29;66.1788;-100.168;114.113;-1.10542;
30;45.8121;-106.148;112.277;-1.29252;
31;22.3345;-110.36;112.411;-1.50523;
32;-1.72772;-113.461;116.473;-1.71465;
33;-12.0405;-115.273;120.158;-1.79752;
34;-31.6117;-115.399;126.125;-1.94908;
