time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;   -0.0265;   -0.6124;    0.3445;   -0.8168;   -0.1377;   -0.3758;   -0.1819;    0.3705;   -0.1148;   -0.2216;    0.0184;    0.1258;
   2;   -0.0575;   -0.5919;    0.2970;   -0.7648;   -0.0908;   -0.3670;   -0.1455;    0.3249;   -0.1552;   -0.2753;   -0.0249;    0.1484;
   3;    0.0423;   -0.6357;    0.3033;   -0.7626;   -0.0384;   -0.3527;   -0.1611;    0.3094;   -0.1842;   -0.2789;   -0.0388;    0.1546;
   4;   -0.0595;   -0.5684;    0.2230;   -0.7327;    0.0018;   -0.3359;   -0.1626;    0.2555;   -0.1927;   -0.2800;   -0.0704;    0.1540;
   5;   -0.0761;   -0.5562;    0.1999;   -0.7237;    0.0622;   -0.3286;   -0.1964;    0.2485;   -0.2073;   -0.2980;   -0.0969;    0.1779;
   6;   -0.0296;   -0.5765;    0.1990;   -0.6658;    0.1460;   -0.3169;   -0.2215;    0.2238;   -0.2678;   -0.3266;   -0.0599;    0.2359;
   7;    0.0110;   -0.6173;    0.2129;   -0.6018;    0.2349;   -0.3127;   -0.2318;    0.1630;   -0.3316;   -0.3243;   -0.0036;    0.2743;
   8;    0.0497;   -0.6664;    0.2317;   -0.5787;    0.3066;   -0.3075;   -0.2405;    0.1204;   -0.3881;   -0.3077;    0.0242;    0.2873;
   9;    0.1950;   -0.8372;    0.2725;   -0.5906;    0.3955;   -0.2905;   -0.2875;    0.0998;   -0.4378;   -0.2825;    0.0286;    0.2584;
  10;    0.2964;   -0.9573;    0.2677;   -0.5703;    0.4865;   -0.2875;   -0.3582;    0.0819;   -0.4619;   -0.2346;    0.0636;    0.1961;
  11;    0.2501;   -0.9480;    0.2837;   -0.5078;    0.5377;   -0.2877;   -0.4075;    0.0375;   -0.4422;   -0.1884;    0.0903;    0.1767;
  12;    0.2553;   -1.0057;    0.3414;   -0.4442;    0.5985;   -0.2636;   -0.4571;    0.0263;   -0.4364;   -0.1727;    0.1051;    0.1257;
  13;    0.2108;   -1.0439;    0.3791;   -0.3623;    0.6629;   -0.2615;   -0.4492;    0.0322;   -0.4575;   -0.1703;    0.0822;    0.0592;
  14;    0.1842;   -1.0605;    0.4230;   -0.3015;    0.6903;   -0.2978;   -0.4556;    0.0438;   -0.4680;   -0.1406;    0.0547;   -0.0363;
  15;    0.0936;   -1.0575;    0.5005;   -0.2291;    0.6775;   -0.3267;   -0.4667;    0.0251;   -0.4511;   -0.0967;    0.0310;   -0.1182;
