time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.0498;   -0.6595;    0.6227;   -0.7738;   -0.4859;   -0.2946;   -0.4292;    0.2596;    0.2402;   -0.1662;    0.0276;    0.1401;
   2;    1.1609;   -0.7689;    0.5570;   -0.8589;   -0.3793;   -0.2807;   -0.4112;    0.3019;    0.1920;   -0.1757;    0.0064;    0.1037;
   3;    1.0681;   -0.7306;    0.4388;   -0.8550;   -0.2881;   -0.2746;   -0.3695;    0.2938;    0.1683;   -0.1816;   -0.0534;    0.0834;
   4;    0.9427;   -0.7164;    0.3683;   -0.8355;   -0.1903;   -0.2464;   -0.3601;    0.2711;    0.1215;   -0.2324;   -0.0946;    0.0810;
   5;    0.8102;   -0.6188;    0.2811;   -0.7966;   -0.0848;   -0.2132;   -0.3259;    0.2079;    0.0508;   -0.2842;   -0.1299;    0.1313;
   6;    0.7450;   -0.5720;    0.2153;   -0.7369;    0.0134;   -0.1818;   -0.2935;    0.1393;   -0.0197;   -0.3355;   -0.1406;    0.2056;
   7;    0.6594;   -0.5421;    0.1762;   -0.6976;    0.1008;   -0.1710;   -0.2637;    0.0702;   -0.0776;   -0.3486;   -0.1347;    0.2445;
   8;    0.6359;   -0.5849;    0.1787;   -0.6372;    0.1910;   -0.1575;   -0.2478;   -0.0191;   -0.1466;   -0.3309;   -0.1020;    0.2870;
   9;    0.5856;   -0.6141;    0.1438;   -0.5370;    0.2617;   -0.1699;   -0.2338;   -0.1166;   -0.1834;   -0.3233;   -0.0837;    0.3215;
  10;    0.4756;   -0.6399;    0.1242;   -0.4610;    0.3375;   -0.1884;   -0.2447;   -0.1876;   -0.1971;   -0.3163;   -0.0658;    0.3223;
  11;    0.3737;   -0.6339;    0.1734;   -0.3803;    0.3956;   -0.1596;   -0.2998;   -0.2410;   -0.1888;   -0.2780;   -0.0207;    0.2833;
  12;    0.2606;   -0.6337;    0.2612;   -0.3115;    0.4344;   -0.1043;   -0.3016;   -0.3087;   -0.1864;   -0.2252;   -0.0278;    0.2129;
  13;    0.1970;   -0.6763;    0.3364;   -0.2461;    0.4309;   -0.0983;   -0.2616;   -0.3558;   -0.2012;   -0.1963;   -0.0282;    0.1585;
  14;    0.1173;   -0.7209;    0.3807;   -0.1700;    0.4234;   -0.1358;   -0.2468;   -0.3770;   -0.1912;   -0.1878;   -0.0393;    0.1342;
  15;    0.0854;   -0.7537;    0.4161;   -0.1152;    0.4015;   -0.1605;   -0.2430;   -0.3794;   -0.1652;   -0.1830;   -0.0485;    0.1107;
  16;    0.0632;   -0.7486;    0.4643;   -0.0752;    0.3770;   -0.1784;   -0.2328;   -0.3724;   -0.1437;   -0.1672;   -0.0565;    0.0787;
