time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.7299;   -0.5013;   -0.2930;   -0.4456;   -0.0607;   -0.2125;   -0.2174;    0.2030;   -0.0033;   -0.2075;   -0.0317;    0.1101;
   2;    1.7486;   -0.4541;   -0.3799;   -0.3370;   -0.0748;   -0.1952;   -0.1936;    0.1556;   -0.0278;   -0.2100;   -0.0434;    0.1503;
   3;    1.6888;   -0.4370;   -0.5308;   -0.1485;   -0.1490;   -0.1671;   -0.1233;   -0.0360;    0.0066;   -0.2158;   -0.0753;    0.1755;
   4;    1.5954;   -0.4716;   -0.5525;   -0.0691;   -0.1708;   -0.1015;   -0.1177;   -0.1787;    0.0365;   -0.2381;   -0.0787;    0.1688;
   5;    1.4334;   -0.5164;   -0.3563;   -0.1545;    0.0148;   -0.0553;   -0.2574;   -0.1456;   -0.0323;   -0.2392;   -0.0355;    0.2017;
   6;    1.3964;   -0.5011;   -0.3148;   -0.1673;    0.1417;   -0.0446;   -0.2992;   -0.2096;   -0.0584;   -0.2199;   -0.0187;    0.1672;
   7;    1.5277;   -0.5799;   -0.2671;   -0.1269;    0.2217;   -0.0091;   -0.3561;   -0.2547;   -0.0969;   -0.1528;   -0.0210;    0.1018;
   8;    1.6013;   -0.7407;   -0.0882;   -0.1015;    0.3035;    0.0415;   -0.4630;   -0.2216;   -0.1445;   -0.1328;    0.0426;    0.0328;
   9;    1.6351;   -0.8641;    0.1158;   -0.1559;    0.3973;    0.0285;   -0.4988;   -0.2187;   -0.1796;   -0.0889;    0.0665;   -0.0288;
  10;    1.6468;   -0.8173;    0.0521;   -0.0301;    0.3792;    0.0067;   -0.4771;   -0.1998;   -0.1772;   -0.0917;    0.0765;   -0.0529;
  11;    1.7160;   -0.8597;    0.0968;    0.1205;    0.2678;   -0.0593;   -0.3968;   -0.1860;   -0.1479;   -0.1004;    0.0544;   -0.0316;
