time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.3596;   -0.7488;    0.3732;   -0.6638;    0.0728;   -0.1416;   -0.3167;    0.1697;   -0.1339;   -0.3256;   -0.0749;    0.2331;
   2;    1.2248;   -0.7219;    0.3579;   -0.6297;    0.1200;   -0.1770;   -0.2797;    0.1605;   -0.1407;   -0.3016;   -0.0811;    0.2982;
   3;    1.2854;   -0.7271;    0.2576;   -0.4797;    0.1461;   -0.0984;   -0.2666;    0.0215;   -0.1425;   -0.2597;   -0.0243;    0.2421;
   4;    1.2341;   -0.7682;    0.2612;   -0.4124;    0.1889;   -0.0478;   -0.3219;   -0.0738;   -0.1821;   -0.2630;   -0.0058;    0.1922;
   5;    1.1067;   -0.6228;    0.3075;   -0.3546;    0.2577;   -0.0993;   -0.2181;   -0.1145;   -0.2471;   -0.2363;    0.0147;    0.2430;
   6;    0.9572;   -0.6415;    0.4195;   -0.2899;    0.2966;   -0.0641;   -0.2119;   -0.1304;   -0.3164;   -0.2344;    0.0304;    0.1820;
   7;    0.9232;   -0.6520;    0.4593;   -0.2131;    0.3154;   -0.1195;   -0.2390;   -0.1097;   -0.2988;   -0.2240;    0.0137;    0.1072;
   8;    0.7680;   -0.6064;    0.5171;   -0.0983;    0.3365;   -0.2001;   -0.3356;   -0.0766;   -0.2230;   -0.2231;    0.0175;    0.0033;
   9;    0.7623;   -0.6683;    0.5855;   -0.0628;    0.3601;   -0.2467;   -0.4081;   -0.0381;   -0.2127;   -0.2207;    0.0260;   -0.0412;
  10;    0.7693;   -0.7094;    0.6836;   -0.0353;    0.4049;   -0.2547;   -0.4626;   -0.0253;   -0.1855;   -0.1911;   -0.0092;   -0.0618;
  11;    0.7632;   -0.8400;    0.6321;    0.1167;    0.4076;   -0.2472;   -0.4647;   -0.0271;   -0.1267;   -0.1591;   -0.0276;   -0.1003;
  12;    0.6840;   -0.7915;    0.5761;    0.2108;    0.4372;   -0.2829;   -0.3790;   -0.0323;   -0.0910;   -0.1111;   -0.0602;   -0.1070;
  13;    0.5788;   -0.6873;    0.6828;    0.1555;    0.5038;   -0.2978;   -0.3569;    0.0174;   -0.1103;   -0.0920;   -0.0701;   -0.1501;
