time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.9710;    0.3278;    0.0857;   -0.4676;    0.3380;   -0.5845;   -0.2728;    0.0978;    0.1329;   -0.0464;   -0.0984;    0.0267;
   2;    0.8242;    0.4599;   -0.0067;   -0.5251;    0.3768;   -0.6545;   -0.1915;    0.0828;    0.1851;    0.0223;   -0.1677;    0.0169;
   3;    0.7883;    0.3914;    0.0004;   -0.5368;    0.2957;   -0.5231;   -0.1973;    0.0202;    0.2283;   -0.0105;   -0.1551;    0.0330;
   4;    0.9325;    0.3178;    0.0334;   -0.5550;    0.2077;   -0.3318;   -0.2432;   -0.0011;    0.2208;    0.0289;   -0.1832;    0.0172;
   5;    0.8783;    0.2831;    0.0413;   -0.5450;    0.2428;   -0.3753;   -0.2223;    0.0095;    0.2457;   -0.0080;   -0.2158;    0.0507;
   6;    0.7781;    0.4321;   -0.0841;   -0.5465;    0.3150;   -0.4358;   -0.1810;   -0.0077;    0.2572;   -0.0802;   -0.1088;   -0.0046;
   7;    0.6385;    0.5352;   -0.1647;   -0.5524;    0.3877;   -0.4442;   -0.1263;    0.0257;    0.1506;   -0.0846;   -0.0982;   -0.0409;
   8;    0.6194;    0.4834;   -0.1354;   -0.6138;    0.4404;   -0.4377;   -0.0086;    0.0745;   -0.0129;   -0.0864;   -0.1955;    0.0326;
   9;    0.5499;    0.4751;   -0.0525;   -0.6001;    0.4137;   -0.3719;    0.0243;    0.0277;   -0.0878;   -0.1005;   -0.1547;    0.0868;
  10;    0.5671;    0.3088;   -0.0854;   -0.3933;    0.4302;   -0.2735;   -0.0831;   -0.1509;   -0.0097;   -0.0931;   -0.0684;    0.1116;
  11;    0.5191;    0.2545;   -0.1142;   -0.3988;    0.5018;   -0.2629;   -0.0927;   -0.1075;   -0.0462;   -0.1553;   -0.0328;    0.0980;
  12;    0.4090;    0.4973;   -0.0686;   -0.5499;    0.5108;   -0.2025;    0.0371;   -0.0617;   -0.2149;   -0.1857;    0.0123;    0.1334;
  13;    0.5679;    0.4000;   -0.1724;   -0.4126;    0.6044;   -0.1729;   -0.1160;   -0.0794;   -0.1327;   -0.1551;   -0.0495;    0.0892;
  14;    0.4936;    0.2935;   -0.1232;   -0.3097;    0.5876;   -0.1659;   -0.2414;   -0.1280;    0.0296;   -0.1277;   -0.0975;    0.0748;
  15;    0.3879;    0.3077;   -0.2243;   -0.1928;    0.5496;   -0.0966;   -0.2074;   -0.1848;    0.0364;   -0.1959;   -0.0544;    0.0854;
  16;    0.3229;    0.2296;   -0.2315;   -0.1030;    0.5358;   -0.0822;   -0.1860;   -0.1963;    0.0106;   -0.2185;   -0.0128;    0.0951;
  17;    0.3315;    0.1407;   -0.1687;   -0.1199;    0.5820;   -0.0697;   -0.2187;   -0.1897;    0.0053;   -0.2148;   -0.0006;    0.1303;
  18;    0.4493;    0.1760;   -0.2008;   -0.0866;    0.5466;   -0.0554;   -0.1516;   -0.2279;   -0.0232;   -0.2046;   -0.0026;    0.1231;
  19;    0.5934;    0.0629;   -0.2803;   -0.0274;    0.6039;   -0.1248;   -0.1124;   -0.2408;   -0.0658;   -0.1864;   -0.0131;    0.0719;
  20;    0.5761;    0.0915;   -0.3341;    0.0723;    0.5740;   -0.1201;   -0.0976;   -0.2266;   -0.0444;   -0.2758;    0.0571;    0.0220;
  21;    0.6551;    0.0927;   -0.3167;    0.1452;    0.5505;   -0.1148;   -0.1393;   -0.1934;   -0.0343;   -0.3009;    0.0727;    0.0123;
  22;    0.5347;    0.0484;   -0.1406;    0.0541;    0.6671;   -0.1488;   -0.1300;   -0.2231;   -0.1026;   -0.1672;   -0.0474;    0.1018;
  23;    0.4107;   -0.0365;    0.0961;   -0.0587;    0.6725;   -0.0739;   -0.1632;   -0.2650;   -0.1121;   -0.1226;   -0.0892;    0.1608;
  24;    0.5205;   -0.1205;    0.0574;    0.0692;    0.6675;   -0.0958;   -0.2020;   -0.2028;   -0.1126;   -0.1737;   -0.0660;    0.0986;
  25;    0.6802;   -0.1712;    0.0078;    0.2415;    0.6047;   -0.1281;   -0.1589;   -0.2704;   -0.0130;   -0.2456;   -0.0556;    0.0754;
