time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.2853;    0.1115;   -0.0602;   -0.4925;    0.1988;   -0.3619;   -0.1387;    0.0068;    0.1284;    0.1499;   -0.2230;   -0.0139;
   2;    1.2350;    0.2565;   -0.1472;   -0.6080;    0.3449;   -0.3727;   -0.1686;    0.0542;    0.0941;    0.0724;   -0.1680;   -0.0691;
   3;    1.3233;    0.0658;    0.0581;   -0.6046;    0.2320;   -0.2198;   -0.2056;    0.0278;    0.1252;    0.0245;   -0.1945;   -0.0344;
   4;    1.4377;   -0.1757;    0.1839;   -0.5235;    0.0941;   -0.0465;   -0.2444;   -0.0555;    0.1940;    0.0322;   -0.2652;   -0.0327;
   5;    1.3219;   -0.1531;    0.1739;   -0.5654;    0.2003;   -0.0074;   -0.2713;   -0.0458;    0.1227;    0.0462;   -0.2433;   -0.0419;
   6;    1.1576;    0.0694;    0.0367;   -0.4923;    0.2336;   -0.0723;   -0.1859;   -0.1040;    0.1477;   -0.0046;   -0.2600;    0.0172;
   7;    1.1214;    0.2633;   -0.0770;   -0.4377;    0.2459;   -0.0921;   -0.0958;   -0.1810;    0.1345;   -0.0578;   -0.1956;    0.0400;
   8;    1.1925;    0.2085;   -0.1993;   -0.3255;    0.3837;   -0.0899;   -0.0643;   -0.2498;    0.0745;   -0.0787;   -0.1708;    0.0512;
   9;    1.1203;    0.2213;   -0.2609;   -0.2978;    0.4825;    0.0045;   -0.0679;   -0.2864;    0.0166;   -0.1164;   -0.1539;    0.0683;
  10;    1.0980;    0.2083;   -0.1644;   -0.4039;    0.5334;    0.0172;   -0.0210;   -0.2566;   -0.0429;   -0.1353;   -0.1758;    0.1238;
  11;    0.8961;    0.0926;   -0.2038;   -0.2798;    0.4388;    0.0418;   -0.0342;   -0.3128;    0.0814;   -0.1845;   -0.1518;    0.1005;
  12;    0.8387;   -0.0286;   -0.1578;   -0.2431;    0.4739;    0.0311;   -0.0628;   -0.3329;    0.1201;   -0.1865;   -0.1669;    0.1201;
  13;    1.0863;   -0.1238;   -0.1030;   -0.1910;    0.5141;    0.0494;   -0.0301;   -0.4266;    0.1057;   -0.1719;   -0.1833;    0.1802;
  14;    1.1256;   -0.1778;   -0.1441;   -0.0810;    0.5366;    0.0414;    0.0559;   -0.4595;    0.0038;   -0.0890;   -0.1792;    0.1615;
  15;    0.9013;   -0.1174;   -0.0474;   -0.0932;    0.5269;    0.1464;   -0.0049;   -0.4529;    0.0163;   -0.1240;   -0.1649;    0.1987;
  16;    0.6993;   -0.1393;    0.0438;   -0.0383;    0.6111;    0.1093;   -0.0971;   -0.4208;    0.0474;   -0.1380;   -0.1734;    0.1870;
  17;    0.7559;   -0.2342;    0.1319;   -0.0226;    0.6574;    0.0463;   -0.1213;   -0.3905;    0.0513;   -0.1403;   -0.1788;    0.1819;
