time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.3259;   -0.7601;    0.3515;   -0.7496;    0.0907;   -0.3160;   -0.1059;    0.2324;   -0.3769;   -0.3554;   -0.0157;    0.1999;
   2;    0.4014;   -0.8053;    0.3557;   -0.7221;    0.1186;   -0.2951;   -0.1221;    0.2200;   -0.3993;   -0.3671;   -0.0067;    0.1995;
   3;    0.4411;   -0.8577;    0.3400;   -0.6635;    0.1901;   -0.2797;   -0.1603;    0.1892;   -0.4191;   -0.3639;    0.0061;    0.1937;
   4;    0.4786;   -0.8979;    0.3415;   -0.6016;    0.2777;   -0.2626;   -0.2139;    0.1442;   -0.4585;   -0.3467;    0.0484;    0.1899;
   5;    0.4436;   -0.8932;    0.3433;   -0.5474;    0.3592;   -0.2570;   -0.2537;    0.0851;   -0.5250;   -0.3137;    0.1173;    0.1962;
   6;    0.4198;   -0.9092;    0.3230;   -0.5322;    0.4253;   -0.2715;   -0.2634;    0.0509;   -0.5849;   -0.2750;    0.1615;    0.1821;
   7;    0.4026;   -0.9217;    0.2975;   -0.4876;    0.4627;   -0.2939;   -0.2684;    0.0209;   -0.5859;   -0.2364;    0.1600;    0.1498;
   8;    0.3515;   -0.9068;    0.3236;   -0.3959;    0.4946;   -0.3247;   -0.2899;   -0.0263;   -0.5570;   -0.1552;    0.1621;    0.0908;
   9;    0.2162;   -0.9299;    0.3923;   -0.2913;    0.5798;   -0.3337;   -0.2978;   -0.0334;   -0.5388;   -0.0800;    0.1261;   -0.0124;
  10;    0.0414;   -0.9507;    0.4550;   -0.1968;    0.6689;   -0.3424;   -0.2953;   -0.0230;   -0.5384;   -0.0493;    0.0729;   -0.1077;
  11;    0.0029;   -0.9571;    0.5188;   -0.1653;    0.6762;   -0.3604;   -0.3080;   -0.0156;   -0.5299;   -0.0198;    0.0362;   -0.1790;
  12;    0.0108;   -0.9087;    0.5752;   -0.1369;    0.6420;   -0.4004;   -0.3019;   -0.0203;   -0.5090;    0.0204;   -0.0072;   -0.2361;
  13;    0.0195;   -0.8829;    0.5978;   -0.1134;    0.6269;   -0.4162;   -0.2894;   -0.0345;   -0.4921;    0.0575;   -0.0369;   -0.2763;
