time;row;
     1;   -3.7057;
     2;   -2.1936;
     3;   -1.5360;
     4;   -1.0795;
     5;   -0.7201;
     6;   -0.4217;
     7;   -0.1683;
     8;    0.0484;
     9;    0.2330;
    10;    0.3882;
    11;    0.5160;
    12;    0.6177;
    13;    0.6944;
    14;    0.7475;
    15;    0.7781;
    16;    0.7876;
    17;    0.7777;
    18;    0.7501;
    19;    0.7068;
    20;    0.6499;
    21;    0.5818;
    22;    0.5048;
    23;    0.4215;
    24;    0.3345;
    25;    0.2463;
    26;    0.1594;
    27;    0.0765;
    28;   -0.0003;
    29;   -0.0686;
    30;   -0.1264;
