time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.2682;   -0.2493;    0.0961;   -0.8748;    0.0162;   -0.8122;   -0.0257;    0.3953;   -0.1462;    0.0735;    0.0090;    0.1334;
   2;    0.5329;   -0.3659;    0.0423;   -0.8458;    0.0018;   -0.7420;   -0.0347;    0.4248;   -0.1375;   -0.0080;   -0.0020;    0.1447;
   3;    0.6694;   -0.4205;   -0.1112;   -0.7216;   -0.0160;   -0.6733;    0.0114;    0.3399;   -0.1155;   -0.0695;   -0.0264;    0.1831;
   4;    0.5683;   -0.6082;    0.0838;   -0.7614;   -0.0211;   -0.5271;   -0.1066;    0.3459;   -0.1272;   -0.0982;   -0.0281;    0.1397;
   5;    0.5464;   -0.6663;    0.1172;   -0.7801;    0.0058;   -0.5158;   -0.1270;    0.3547;   -0.1862;   -0.1209;   -0.0144;    0.1449;
   6;    0.6453;   -0.7298;    0.0576;   -0.7053;    0.0236;   -0.4615;   -0.0947;    0.3095;   -0.2264;   -0.1762;   -0.0056;    0.1809;
   7;    0.3839;   -0.6863;    0.0306;   -0.6330;    0.1004;   -0.4526;   -0.0725;    0.1793;   -0.2146;   -0.2297;   -0.0156;    0.2428;
   8;    0.2321;   -0.7004;    0.0701;   -0.5691;    0.1705;   -0.4303;   -0.0535;    0.0816;   -0.2691;   -0.2246;   -0.0249;    0.2900;
   9;    0.1259;   -0.7008;    0.0853;   -0.4879;    0.2446;   -0.4009;   -0.0497;   -0.0134;   -0.3264;   -0.1825;   -0.0472;    0.3073;
  10;    0.0785;   -0.6993;    0.0546;   -0.4046;    0.3508;   -0.4144;   -0.0708;   -0.0680;   -0.4032;   -0.1349;   -0.0169;    0.2662;
  11;    0.1809;   -0.6814;    0.1025;   -0.3652;    0.3883;   -0.4105;   -0.1087;   -0.1014;   -0.4636;   -0.1015;    0.0528;    0.2317;
  12;    0.1593;   -0.6203;    0.1614;   -0.2855;    0.3718;   -0.4175;   -0.1296;   -0.1512;   -0.4643;   -0.0577;    0.1251;    0.1829;
  13;   -0.0057;   -0.6031;    0.2135;   -0.1974;    0.3957;   -0.4424;   -0.1206;   -0.1829;   -0.4330;   -0.0135;    0.1120;    0.1242;
  14;   -0.1510;   -0.6255;    0.2761;   -0.1133;    0.4211;   -0.4280;   -0.0901;   -0.2038;   -0.4200;    0.0003;    0.0703;    0.0422;
  15;   -0.2373;   -0.6454;    0.3266;   -0.0506;    0.4456;   -0.4196;   -0.0748;   -0.2333;   -0.3994;    0.0155;    0.0198;   -0.0129;
