time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.4847;    0.1628;   -0.0435;   -0.8243;    0.0796;   -0.6443;    0.0986;    0.1345;   -0.1344;   -0.0322;   -0.1557;    0.1518;
   2;    0.4729;    0.1859;   -0.1078;   -0.7707;    0.1294;   -0.5753;    0.0699;    0.0854;   -0.0867;   -0.0857;   -0.1715;    0.1838;
   3;    0.4425;    0.2148;   -0.1683;   -0.7296;    0.1681;   -0.5208;    0.0801;    0.0198;   -0.1039;   -0.1100;   -0.1790;    0.1950;
   4;    0.4215;    0.1483;   -0.2067;   -0.6957;    0.2363;   -0.5039;    0.0822;   -0.0172;   -0.1649;   -0.1333;   -0.1895;    0.2060;
   5;    0.4089;    0.0693;   -0.2646;   -0.6193;    0.3041;   -0.5286;    0.0849;   -0.0513;   -0.2171;   -0.1634;   -0.1916;    0.2373;
   6;    0.4893;   -0.0202;   -0.2824;   -0.5197;    0.3167;   -0.5504;    0.0980;   -0.0872;   -0.2748;   -0.1937;   -0.1508;    0.2897;
   7;    0.5148;   -0.0948;   -0.1687;   -0.4391;    0.3141;   -0.5215;    0.0839;   -0.1204;   -0.3219;   -0.2070;   -0.0897;    0.3233;
   8;    0.4540;   -0.1308;   -0.1002;   -0.3589;    0.3654;   -0.5120;    0.0879;   -0.1580;   -0.3862;   -0.1995;   -0.0422;    0.3048;
   9;    0.3947;   -0.1664;   -0.0561;   -0.2681;    0.4321;   -0.4844;    0.0862;   -0.1839;   -0.4206;   -0.2088;   -0.0364;    0.2682;
  10;    0.3783;   -0.2202;    0.0340;   -0.1293;    0.4578;   -0.4546;    0.0493;   -0.2218;   -0.4089;   -0.2041;   -0.0354;    0.2302;
  11;    0.3948;   -0.2337;    0.0970;   -0.0315;    0.4500;   -0.4561;    0.0329;   -0.2549;   -0.4005;   -0.1754;   -0.0165;    0.1706;
  12;    0.4239;   -0.2636;    0.1301;    0.0088;    0.4443;   -0.4381;    0.0283;   -0.2931;   -0.3920;   -0.1642;    0.0159;    0.1240;
  13;    0.3993;   -0.2452;    0.1475;    0.0659;    0.4342;   -0.4487;    0.0422;   -0.3093;   -0.3815;   -0.1661;    0.0410;    0.0917;
  14;    0.1959;   -0.2634;    0.1824;    0.0817;    0.5397;   -0.4974;    0.0193;   -0.2829;   -0.3894;   -0.0747;   -0.0064;    0.0386;
  15;    0.1004;   -0.2623;    0.1806;    0.1220;    0.5996;   -0.5150;    0.0105;   -0.2999;   -0.3703;   -0.0059;   -0.0264;   -0.0102;
  16;    0.0592;   -0.2737;    0.2190;    0.1625;    0.6246;   -0.5065;    0.0178;   -0.2994;   -0.3456;    0.0383;   -0.0393;   -0.0594;
  17;    0.0298;   -0.2805;    0.2746;    0.2061;    0.6337;   -0.5048;    0.0176;   -0.2766;   -0.3330;    0.0538;   -0.0454;   -0.0953;
  18;    0.0299;   -0.3277;    0.3219;    0.2256;    0.6350;   -0.4974;    0.0218;   -0.2523;   -0.3165;    0.0617;   -0.0635;   -0.1310;
  19;    0.0337;   -0.3801;    0.3597;    0.2403;    0.6327;   -0.4800;    0.0285;   -0.2352;   -0.2984;    0.0735;   -0.0919;   -0.1674;
  20;    0.0212;   -0.4125;    0.3813;    0.2693;    0.6305;   -0.4636;    0.0264;   -0.2299;   -0.2787;    0.0823;   -0.1204;   -0.1905;
