time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -22; 135;-22;135;0;0;136.304;1.73812;
2; -22; 135;-22;135;4;2;136.304;1.73812;
3; -18; 137;-20.6667;135.667;9;1;137.676;1.70704;
4; -9; 138;-17.75;136.25;18;-1;137.742;1.64128;
5; 9; 137;-12.4;136.4;16;-2;136.652;1.51002;
6; 25; 135;-6.16667;136.167;21;-16;136.579;1.39193;
7; 46; 119;1.28571;133.714;7;-13;126.77;1.20538;
8; 53; 106;7.75;130.25;8;-12;117.662;1.11019;
9; 61; 94;13.6667;126.222;1;-12;111.174;0.997513;
10; 62; 82;18.5;121.8;-4;-14;101.9;0.925333;
11; 58; 68;22.0909;116.909;-12;-18;88.465;0.866216;
12; 46; 50;24.0833;111.333;-43;-40;67.0257;0.828666;
13; 3; 10;22.4615;103.538;-19;1;9.67729;1.33083;
14; -16; 11;19.7143;96.9286;-54;-19;19.6736;2.58461;
15; -70; -8;13.7333;89.9333;-30;15;71.2211;-3.02055;
16; -100; 7;6.625;84.75;-4;0;100.903;3.07812;
17; -104; 7;0.117647;80.1765;-1;-2;104.895;3.08054;
18; -105; 5;-5.72222;76;-1;-2;105.792;3.09999;
19; -106; 3;-11;72.1579;1;-2;106.727;3.1191;
20; -105; 1;-15.7;68.6;5;10;105.701;3.13781;
21; -100; 11;-19.7143;65.8571;-1;-1;101.236;3.03868;
22; -101; 10;-23.4091;63.3182;0;-2;102.133;3.04943;
23; -101; 8;-26.7826;60.913;1;-3;101.969;3.06896;
24; -100; 5;-29.8333;58.5833;3;-4;100.796;3.09793;
25; -97; 1;-32.52;56.28;15;-2;97.7008;3.1375;
26; -82; -1;-34.4231;54.0769;15;-15;82.7155;-3.12225;
27; -67; -16;-35.6296;51.4815;24;-24;69.7055;-2.90114;
28; -43; -40;-35.8929;48.2143;18;-33;59.6494;-2.39295;
29; -25; -73;-35.5172;44.0345;18;-36;77.958;-1.90674;
30; -7; -109;-34.5667;38.9333;28;-38;109.87;-1.64094;
31; 21; -147;-32.7742;32.9355;44;-7;148.989;-1.43412;
32; 65; -154;-29.7188;27.0938;30;12;167.438;-1.17665;
33; 95; -142;-25.9394;21.9697;21;18;170.96;-0.986525;
34; 116; -124;-21.7647;17.6765;9;19;169.762;-0.824145;
35; 125; -105;-17.5714;14.1714;3;8;163.101;-0.704237;
36; 128; -97;-13.5278;11.0833;0;-1;160.409;-0.654099;
37; 128; -98;-9.7027;8.13514;3;6;161.019;-0.659028;
38; 131; -92;-6;5.5;-3;0;159.853;-0.61785;
39; 128; -92;-2.5641;3;0;-1;157.417;-0.62889;
40; 128; -93;0.7;0.6;-4;-6;158.007;-0.634008;
