time;row_1;row_2;row_3;
   1;    0.0509;    0.1838;    1.0019;
   2;    0.0581;    0.2152;    1.3073;
   3;    0.0563;    0.2166;    1.5126;
   4;    0.0452;    0.1890;    1.5890;
   5;    0.0251;    0.1403;    1.5476;
   6;   -0.0046;    0.0766;    1.4247;
   7;   -0.0458;   -0.0005;    1.2696;
   8;   -0.0998;   -0.0933;    1.1336;
   9;   -0.1657;   -0.2046;    1.0548;
  10;   -0.2403;   -0.3351;    1.0373;
  11;   -0.3208;   -0.4831;    1.0447;
  12;   -0.4054;   -0.6456;    1.0247;
  13;   -0.4929;   -0.8185;    0.9485;
  14;   -0.5812;   -0.9959;    0.8289;
  15;   -0.6677;   -1.1701;    0.7008;
  16;   -0.7500;   -1.3338;    0.5934;
  17;   -0.8265;   -1.4821;    0.5154;
  18;   -0.8964;   -1.6154;    0.4533;
  19;   -0.9595;   -1.7387;    0.3830;
  20;   -1.0163;   -1.8589;    0.2914;
  21;   -1.0670;   -1.9818;    0.1897;
  22;   -1.1115;   -2.1092;    0.1025;
  23;   -1.1483;   -2.2386;    0.0452;
  24;   -1.1743;   -2.3629;    0.0161;
  25;   -1.1852;   -2.4717;    0.0046;
  26;   -1.1755;   -2.5513;    0.0011;
  27;   -1.1394;   -2.5867;    0.0002;
  28;   -1.0716;   -2.5646;    0.0000;
  29;   -0.9685;   -2.4770;    0.0000;
  30;   -0.8295;   -2.3233;    0.0000;
  31;   -0.6580;   -2.1105;    0.0000;
  32;   -0.4606;   -1.8505;    0.0000;
  33;   -0.2460;   -1.5573;    0.0000;
  34;   -0.0223;   -1.2440;   -0.0000;
  35;    0.2040;   -0.9210;   -0.0000;
  36;    0.4278;   -0.5946;   -0.0000;
  37;    0.6456;   -0.2673;   -0.0000;
  38;    0.8545;    0.0600;   -0.0000;
  39;    1.0516;    0.3839;   -0.0000;
  40;    1.2325;    0.6970;   -0.0002;
  41;    1.3893;    0.9883;   -0.0011;
  42;    1.5108;    1.2453;   -0.0056;
  43;    1.5851;    1.4557;   -0.0240;
  44;    1.6029;    1.6091;   -0.0828;
  45;    1.5599;    1.6990;   -0.2326;
  46;    1.4577;    1.7238;   -0.5375;
  47;    1.3058;    1.6890;   -1.0312;
  48;    1.1240;    1.6085;   -1.6623;
  49;    0.9424;    1.5042;   -2.2827;
  50;    0.7951;    1.4015;   -2.7174;
  51;    0.7055;    1.3214;   -2.8696;
  52;    0.6739;    1.2721;   -2.7763;
  53;    0.6800;    1.2492;   -2.5664;
  54;    0.6986;    1.2421;   -2.3667;
  55;    0.7140;    1.2412;   -2.2372;
  56;    0.7221;    1.2418;   -2.1748;
  57;    0.7253;    1.2422;   -2.1518;
  58;    0.7262;    1.2423;   -2.1453;
  59;    0.7264;    1.2424;   -2.1438;
  60;    0.7265;    1.2424;   -2.1436;
  61;    0.7265;    1.2424;   -2.1435;
  62;    0.7265;    1.2424;   -2.1435;
  63;    0.7265;    1.2423;   -2.1435;
  64;    0.7264;    1.2422;   -2.1433;
  65;    0.7260;    1.2415;   -2.1420;
  66;    0.7239;    1.2380;   -2.1360;
  67;    0.7165;    1.2253;   -2.1142;
  68;    0.6951;    1.1887;   -2.0509;
  69;    0.6462;    1.1052;   -1.9068;
  70;    0.5584;    0.9549;   -1.6476;
  71;    0.4335;    0.7413;   -1.2790;
