time;row_1;row_2;row_3;row_4;
1;-120.6;384.2;353.813;1.88423;
2;-82;387;346.619;1.77559;
3;-49.4;389.6;344.068;1.68115;
4;-39;386.6;340.088;1.65172;
5;-39.2;375.6;329.142;1.65503;
6;-48.8;352.4;307.048;1.69255;
7;-14.8;319.2;271.595;1.58292;
8;12;270.4;224.012;1.46566;
9;28.2;207.8;165.024;1.32779;
10;33;136;98.9502;1.10425;
11;26.8;58;39.6884;0.264485;
12;12;-23.8;75.1942;-1.25283;
13;-8;-107.8;155.465;-1.54823;
14;-34.6;-159;207.911;-1.68209;
15;-52.6;-199.8;250.814;-1.73537;
16;-56.4;-226.6;277.875;-1.73306;
17;-46.4;-238.8;288.542;-1.69202;
18;-25;-235.2;283.147;-1.61846;
19;2.2;-217.6;265.579;-1.51916;
20;33.2;-192.2;243.957;-1.38649;
21;32.8;-198.2;249.786;-1.39247;
22;2.8;-140;188.17;-1.49468;
23;36.2;-98.4;153.621;-1.25502;
24;121.4;-86.4;188.752;-0.789581;
