time;row_1;row_2;row_3;row_4;
1;-551.8;255.4;628.371;2.72561;
2;-506.6;257;588.003;2.69205;
3;-468.4;258.4;554.494;2.65983;
4;-441;259.6;530.947;2.63392;
5;-475.4;258.2;560.616;2.66594;
6;-515;252.6;593.705;2.70487;
7;-506.2;245.8;582.86;2.70906;
8;-502;231.8;573.283;2.72816;
9;-510.6;214;574.347;2.76256;
10;-533.2;193.6;588.429;2.809;
11;-572;170.4;618.496;2.86497;
12;-604.8;149.2;644.928;2.91049;
13;-635.6;128.6;670.739;2.95092;
14;-661.8;108.2;693.048;2.98699;
15;-639;90.4;667.928;3.00807;
16;-613.4;76;640.731;3.02503;
17;-581.6;64.8;607.889;3.03724;
18;-541.2;56.2;566.83;3.04491;
19;-495;47.2;519.996;3.05356;
20;-443.2;37.4;467.564;3.0647;
21;-389.2;27.4;412.997;3.07879;
22;-345.4;11.8;368.527;3.11359;
23;-307.6;-9.2;330.755;-3.10929;
24;-278.2;-36.8;303.606;-3.01517;
25;-255.6;-70.2;287.657;-2.88975;
26;-239.6;-108.4;284.646;-2.74527;
27;-233.4;-149.8;297.688;-2.60851;
28;-240.4;-190.6;325.984;-2.51148;
29;-257.8;-229.2;363.39;-2.45384;
30;-284.4;-262.6;405.244;-2.43182;
31;-323.2;-290.8;453.068;-2.44042;
32;-369.2;-313.2;502.823;-2.4654;
33;-334.4;-274.6;451.601;-2.48384;
34;-295;-229.4;392.962;-2.51358;
35;-239.8;-178.2;318.339;-2.54185;
36;-161.2;-120.8;221.079;-2.5555;
37;-68.8;-59;109.918;-2.55894;
38;36.8;6.2;14.601;0.329095;
39;154.6;73.2;149.889;0.498922;
40;280;138.2;291.119;0.488875;
41;370;195;397.329;0.508708;
42;466.4;243.8;505.309;0.500137;
43;481.6;233.4;513.922;0.46819;
44;495;217.2;518.975;0.428672;
45;496;197.8;512.139;0.3934;
46;480;177.2;489.635;0.367065;
47;460.8;156.8;464.551;0.340906;
48;441.8;136.6;440.074;0.312078;
49;422.2;116.6;415.484;0.280745;
50;403.8;97.2;392.663;0.24625;
51;432.8;83.2;417.885;0.196822;
52;464.4;73.6;447.27;0.161949;
53;501.2;62.6;482.107;0.127116;
54;544;51.4;523.403;0.0955188;
55;589.6;37.4;567.755;0.063307;
56;634.8;16.8;612.009;0.025033;
57;674;-10.6;651.13;-0.0185552;
58;704.8;-45.6;683.441;-0.068943;
59;728.8;-87;711.342;-0.124709;
60;743;-133.2;732.505;-0.184916;
61;746;-180.8;745.641;-0.246965;
62;738.2;-227.4;750.948;-0.309718;
63;718.4;-269.8;746.458;-0.371941;
64;689;-305.4;733.318;-0.431774;
65;654.4;-332.8;714.445;-0.486901;
66;654.4;-345.8;720.619;-0.502845;
67;645.2;-368;723.651;-0.535858;
68;606;-385.4;699.704;-0.585866;
69;548.8;-391.4;656.384;-0.641695;
