time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.8145;   -0.0814;    0.4065;    0.0452;   -0.6916;   -0.3363;   -0.1161;   -0.1420;    0.0945;   -0.1251;   -0.0981;    0.1926;
   2;    1.9135;   -0.1368;    0.3787;    0.0284;   -0.6384;   -0.3385;   -0.0691;   -0.1117;    0.0816;   -0.1074;   -0.1276;    0.1395;
   3;    1.6439;   -0.0905;    0.3356;    0.0536;   -0.5745;   -0.2786;   -0.0096;   -0.1435;    0.0434;   -0.1092;   -0.1181;    0.0909;
   4;    1.8488;   -0.2665;    0.3482;    0.0758;   -0.4979;   -0.2509;   -0.0628;   -0.1326;    0.0591;   -0.1380;   -0.2004;    0.1297;
   5;    1.8391;   -0.1612;    0.1619;    0.1022;   -0.3713;   -0.2455;   -0.0459;   -0.1637;    0.0761;   -0.2464;   -0.2164;    0.1516;
   6;    1.9284;   -0.1925;    0.1438;    0.0729;   -0.3776;   -0.1684;    0.0062;   -0.1543;    0.0272;   -0.3053;   -0.2543;    0.1717;
   7;    1.6958;   -0.2392;    0.1423;    0.1057;   -0.2943;   -0.0960;   -0.0542;   -0.1104;   -0.0176;   -0.3054;   -0.2160;    0.1756;
   8;    2.0032;   -0.4638;    0.3018;    0.0655;   -0.2766;   -0.0164;   -0.1037;   -0.1584;   -0.0204;   -0.2924;   -0.2522;    0.2207;
   9;    1.7880;   -0.1844;    0.1313;    0.0794;   -0.2087;    0.0149;   -0.1429;   -0.2551;    0.0229;   -0.2743;   -0.2454;    0.1634;
  10;    1.9993;   -0.3476;    0.1756;    0.1438;   -0.1376;   -0.0191;   -0.2138;   -0.2556;   -0.0325;   -0.2452;   -0.2300;    0.1485;
  11;    2.0819;   -0.6002;    0.3652;    0.1670;   -0.0950;    0.0002;   -0.2231;   -0.2514;   -0.0890;   -0.2536;   -0.1770;    0.1676;
  12;    2.2031;   -0.8655;    0.6301;    0.0009;    0.0076;    0.0130;   -0.2730;   -0.2037;   -0.1710;   -0.2877;   -0.1526;    0.1733;
  13;    1.9053;   -0.7189;    0.5381;    0.0181;    0.0956;    0.0686;   -0.2818;   -0.2122;   -0.1450;   -0.3415;   -0.1077;    0.2384;
  14;    1.8675;   -0.7033;    0.5653;    0.0512;    0.0863;    0.1478;   -0.2899;   -0.2687;   -0.1417;   -0.3300;   -0.0515;    0.2503;
  15;    1.6613;   -0.6636;    0.4768;    0.2315;    0.0272;    0.1796;   -0.2983;   -0.2830;   -0.1250;   -0.2898;   -0.0196;    0.2118;
  16;    1.6719;   -0.7613;    0.6030;    0.2189;    0.0654;    0.1454;   -0.2920;   -0.2892;   -0.1264;   -0.2551;    0.0051;    0.1750;
  17;    1.8038;   -0.9243;    0.7956;    0.1571;    0.1331;    0.0743;   -0.3337;   -0.2658;   -0.1531;   -0.2062;   -0.0119;    0.1287;
  18;    1.8722;   -0.9957;    0.8527;    0.1417;    0.1950;    0.0623;   -0.3954;   -0.2204;   -0.1868;   -0.2077;    0.0329;    0.0717;
  19;    1.8932;   -1.0305;    0.8830;    0.1582;    0.1949;    0.0834;   -0.4187;   -0.1998;   -0.1859;   -0.2473;    0.0805;    0.0596;
  20;    1.7726;   -1.0177;    0.8858;    0.1506;    0.2272;    0.1012;   -0.4215;   -0.1687;   -0.1718;   -0.2648;    0.0750;    0.0324;
