time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.2163;    0.0127;    0.4090;   -0.4264;    0.2158;   -0.3532;   -0.1020;    0.3835;   -0.0072;   -0.1836;   -0.2083;    0.0204;
   2;    1.1618;    0.0952;    0.3274;   -0.3892;    0.2807;   -0.3529;   -0.0116;    0.3584;   -0.0037;   -0.2309;   -0.2065;    0.0453;
   3;    1.0817;    0.0448;    0.4525;   -0.4094;    0.2730;   -0.2860;   -0.0433;    0.3642;   -0.0309;   -0.2728;   -0.2338;    0.0511;
   4;    1.0232;   -0.1080;    0.5415;   -0.4158;    0.2482;   -0.1814;   -0.1681;    0.3303;   -0.0901;   -0.2990;   -0.2103;    0.0252;
   5;    1.0964;   -0.2330;    0.5890;   -0.3557;    0.2796;   -0.1235;   -0.2521;    0.2730;   -0.1530;   -0.3345;   -0.1690;    0.0285;
   6;    1.1714;   -0.2927;    0.6091;   -0.2666;    0.3408;   -0.0344;   -0.2726;    0.1700;   -0.1977;   -0.3618;   -0.1408;    0.0857;
   7;    1.1997;   -0.2297;    0.5428;   -0.2731;    0.3084;    0.0720;   -0.2540;    0.0833;   -0.2150;   -0.3623;   -0.1089;    0.0622;
   8;    1.2401;   -0.2939;    0.5375;   -0.1604;    0.3043;    0.0550;   -0.2435;    0.0507;   -0.2288;   -0.3951;   -0.0566;    0.1041;
   9;    1.3055;   -0.5330;    0.5909;   -0.0253;    0.3132;    0.0365;   -0.2764;    0.0809;   -0.2562;   -0.3850;   -0.0177;    0.0688;
  10;    1.2113;   -0.6540;    0.6479;    0.0530;    0.3349;    0.0772;   -0.3046;   -0.0380;   -0.2169;   -0.2901;    0.0049;    0.0417;
  11;    1.0190;   -0.5536;    0.4837;    0.2440;    0.2683;    0.1068;   -0.2103;   -0.2346;   -0.1368;   -0.2373;   -0.0178;    0.0988;
  12;    0.9556;   -0.5131;    0.5112;    0.2630;    0.2372;    0.1154;   -0.1921;   -0.2523;   -0.1656;   -0.2470;    0.0347;    0.0647;
  13;    1.1094;   -0.5642;    0.6813;    0.1211;    0.2998;    0.0604;   -0.1344;   -0.2829;   -0.2413;   -0.2079;    0.0187;    0.0925;
