time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.2428;   -0.3247;    0.5440;   -0.3730;   -0.1814;   -0.2897;    0.0023;    0.1676;   -0.0953;   -0.2768;   -0.2295;    0.1408;
   2;    1.0728;   -0.3530;    0.6035;   -0.2231;   -0.1036;   -0.3022;   -0.0564;    0.0542;   -0.1427;   -0.2259;   -0.1493;    0.2240;
   3;    1.1654;   -0.3890;    0.5639;   -0.2165;   -0.1581;   -0.1601;   -0.0739;    0.0346;   -0.1131;   -0.2894;   -0.1050;    0.2003;
   4;    1.2079;   -0.4691;    0.5671;   -0.2666;   -0.0724;   -0.0371;   -0.1382;    0.0024;   -0.0822;   -0.3143;   -0.0494;    0.2250;
   5;    1.1987;   -0.4037;    0.4565;   -0.2165;    0.0578;    0.0233;   -0.0764;    0.0000;   -0.0591;   -0.3226;   -0.0574;    0.2301;
   6;    1.1216;   -0.3101;    0.3799;    0.0291;    0.0744;    0.0329;   -0.0337;   -0.0414;   -0.0654;   -0.3292;   -0.0568;    0.1907;
   7;    1.0196;   -0.3794;    0.5805;    0.0004;    0.1893;    0.0124;   -0.1077;   -0.0048;   -0.0964;   -0.3699;   -0.0301;    0.2052;
   8;    0.9320;   -0.4306;    0.6527;    0.0702;    0.2083;    0.1042;   -0.2441;    0.0075;   -0.0879;   -0.3785;    0.0031;    0.1415;
   9;    0.9036;   -0.4522;    0.6914;    0.1669;    0.1749;    0.1030;   -0.2633;   -0.0468;   -0.1022;   -0.3109;    0.0225;    0.0540;
  10;    0.9634;   -0.5359;    0.7863;    0.1521;    0.2417;    0.2108;   -0.2700;   -0.1235;   -0.1711;   -0.2648;    0.1013;    0.0113;
  11;    1.0539;   -0.6809;    0.9612;    0.1615;    0.2391;    0.2230;   -0.2154;   -0.1459;   -0.2379;   -0.2162;    0.1420;   -0.0512;
  12;    1.0529;   -0.6752;    1.0416;    0.1202;    0.3153;    0.1209;   -0.2068;   -0.0535;   -0.3128;   -0.1872;    0.1136;   -0.1323;
  13;    0.9648;   -0.6114;    1.0993;   -0.0389;    0.4701;    0.1099;   -0.3916;    0.0188;   -0.2651;   -0.2245;    0.0937;   -0.1724;
  14;    0.9476;   -0.6606;    1.1432;    0.0227;    0.4361;    0.0815;   -0.3938;   -0.0036;   -0.2762;   -0.2040;    0.1186;   -0.2258;
