time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.1149;   -0.1211;    1.0152;   -0.4359;   -0.3233;   -0.3157;   -0.3124;    0.2037;   -0.0188;   -0.2015;    0.1348;    0.1744;
   2;    1.0858;   -0.0763;    0.9622;   -0.4327;   -0.2654;   -0.3427;   -0.3097;    0.2444;   -0.0361;   -0.2290;    0.1199;    0.1551;
   3;    1.1925;   -0.1597;    0.9763;   -0.3665;   -0.2664;   -0.3060;   -0.3283;    0.2019;   -0.0445;   -0.2429;    0.1078;    0.1399;
   4;    1.0268;   -0.1214;    0.8637;   -0.1792;   -0.2478;   -0.2713;   -0.3847;    0.1500;   -0.0514;   -0.2521;    0.0757;    0.1246;
   5;    1.1943;   -0.3366;    0.8798;   -0.2765;   -0.1749;   -0.1007;   -0.3433;    0.1742;   -0.0429;   -0.3211;    0.0235;    0.0712;
   6;    1.1958;   -0.4108;    0.8285;   -0.3175;   -0.0535;   -0.0054;   -0.3600;    0.1781;   -0.0507;   -0.3917;   -0.0319;    0.0776;
   7;    1.1315;   -0.4299;    0.7770;   -0.2619;    0.0356;    0.0395;   -0.3956;    0.1330;   -0.0565;   -0.4167;   -0.0566;    0.1046;
   8;    1.2919;   -0.4578;    0.8295;   -0.2695;    0.0248;    0.1370;   -0.3749;    0.0754;   -0.0562;   -0.4247;   -0.0323;    0.0994;
   9;    1.5204;   -0.6239;    1.0146;   -0.3376;    0.0813;    0.2140;   -0.4106;    0.0185;   -0.1330;   -0.4323;    0.0741;    0.1151;
  10;    1.2949;   -0.6079;    0.9696;   -0.2457;    0.0874;    0.2325;   -0.3650;   -0.0101;   -0.1387;   -0.4080;    0.0510;    0.1025;
  11;    1.2904;   -0.6486;    0.9305;   -0.1471;    0.1784;    0.2076;   -0.3768;   -0.0482;   -0.1839;   -0.3629;    0.1022;    0.0706;
  12;    1.3693;   -0.6628;    1.0198;   -0.1274;    0.2011;    0.1605;   -0.4114;   -0.0716;   -0.1931;   -0.3007;    0.1016;   -0.0119;
  13;    1.3747;   -0.7484;    1.1705;   -0.0739;    0.1849;    0.0872;   -0.5219;   -0.0366;   -0.1079;   -0.3348;    0.0394;   -0.0360;
  14;    1.2925;   -0.6841;    1.1121;   -0.0234;    0.1876;    0.0952;   -0.4932;   -0.0536;   -0.0772;   -0.3477;   -0.0067;   -0.0390;
  15;    1.1279;   -0.4084;    0.8857;    0.0659;    0.1717;    0.1407;   -0.4362;   -0.1338;   -0.0681;   -0.3120;   -0.0232;   -0.0616;
  16;    1.2531;   -0.4514;    0.8551;    0.0604;    0.2701;    0.0629;   -0.4038;   -0.1360;   -0.1696;   -0.3036;    0.0547;   -0.0621;
  17;    1.4062;   -0.7081;    1.0307;   -0.0632;    0.3063;    0.1906;   -0.4465;   -0.1197;   -0.2317;   -0.3274;    0.1236;   -0.0480;
