time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.4468;   -0.3187;    0.5135;    0.0222;   -0.2502;   -0.3309;   -0.3738;    0.1996;    0.0024;   -0.2246;   -0.0835;    0.0441;
   2;    1.7340;   -0.5651;    0.6340;   -0.0022;   -0.1733;   -0.3499;   -0.3756;    0.0831;    0.0161;   -0.2340;   -0.0904;    0.0903;
   3;    1.5227;   -0.3223;    0.3206;    0.0377;   -0.2682;   -0.3410;   -0.3231;    0.1051;    0.0348;   -0.1964;   -0.1426;    0.0586;
   4;    1.5858;   -0.4188;    0.3361;    0.0690;   -0.2486;   -0.2904;   -0.4045;    0.0526;    0.0661;   -0.2062;   -0.1497;    0.0584;
   5;    1.5875;   -0.4144;    0.3350;    0.0591;   -0.1680;   -0.2296;   -0.4386;    0.0038;    0.1016;   -0.2086;   -0.1918;    0.0544;
   6;    1.6460;   -0.4261;    0.3895;    0.0290;   -0.1222;   -0.2023;   -0.4122;   -0.0120;    0.1121;   -0.2192;   -0.2281;    0.0455;
   7;    1.7212;   -0.4910;    0.3533;    0.1166;   -0.0325;   -0.2449;   -0.3921;   -0.0824;    0.0625;   -0.2218;   -0.2338;    0.0690;
   8;    1.6990;   -0.4677;    0.3523;    0.0273;   -0.0177;   -0.1303;   -0.3766;   -0.0915;    0.0776;   -0.3183;   -0.2532;    0.1480;
   9;    1.6415;   -0.4760;    0.3759;   -0.0463;    0.0701;   -0.0236;   -0.3285;   -0.0983;   -0.0138;   -0.3975;   -0.1802;    0.2282;
  10;    1.5789;   -0.5594;    0.5143;   -0.1453;    0.1101;    0.0649;   -0.2980;   -0.0905;   -0.1597;   -0.3965;   -0.0344;    0.2177;
  11;    1.4998;   -0.6138;    0.5880;   -0.1493;    0.0998;    0.1524;   -0.2773;   -0.1164;   -0.1971;   -0.3990;    0.0185;    0.2224;
  12;    1.5822;   -0.6499;    0.5827;   -0.1246;    0.1693;    0.1779;   -0.3294;   -0.1091;   -0.1761;   -0.4183;    0.0338;    0.2163;
  13;    1.3836;   -0.5805;    0.4808;    0.0225;    0.1312;    0.1388;   -0.3242;   -0.0853;   -0.1613;   -0.4389;    0.0151;    0.2097;
  14;    1.4614;   -0.5629;    0.5553;   -0.0484;    0.1890;    0.0574;   -0.3103;   -0.0691;   -0.1863;   -0.4557;    0.0293;    0.2282;
  15;    1.4812;   -0.6834;    0.7448;   -0.0435;    0.1848;    0.0144;   -0.3954;   -0.0474;   -0.1677;   -0.4051;    0.0457;    0.1333;
  16;    1.2053;   -0.6496;    0.6402;    0.1209;    0.2195;    0.0007;   -0.4351;   -0.0836;   -0.1090;   -0.3775;    0.0253;    0.0885;
  17;    1.2739;   -0.6518;    0.5981;    0.1305;    0.3059;   -0.1407;   -0.4508;   -0.0794;   -0.1062;   -0.3317;   -0.0322;    0.0596;
  18;    1.2719;   -0.6189;    0.5289;    0.2659;    0.2284;   -0.1632;   -0.3870;   -0.0699;   -0.1406;   -0.3232;   -0.0359;    0.0247;
  19;    1.3576;   -0.7681;    0.7077;    0.2096;    0.2314;   -0.1775;   -0.3649;   -0.0659;   -0.1903;   -0.3052;   -0.0284;    0.0291;
